变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""","""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称,副本名称_韩,副本名称,副本名称,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍,特性介绍_韩,特性介绍_韩,特性介绍_韩
89,暴鲤龙(地狱),暴鯉龍,Gyarados,Gyarados (Địa ngục),갸라도스,Gyarados (Inferno),ギャラドス (นรก),1088,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},暴鲤龙似乎获得了更强的能力,暴鯉龍似乎獲得了更強的能力,Gyarados seems to have gotten more powerful,Gyarados dường như đã có được sức mạnh lớn hơn.,갸라도스가 더 강한 능력을 획득한 것 같다.,O Gyarados parece ter obtido um poder ainda maior.,ギャラドスที่ดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
90,快龙(地狱),快龍,Dragonite,Dragonite (Địa Ngục),망나뇽,Dragonite (Inferno),แดร็กไนท์ (นรก),1089,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},快龙似乎获得了更强的能力,快龍似乎獲得了更強的能力,Dragonite seems to have gotten more powerful,Dragonite dường như đã có được khả năng mạnh hơn.,망나뇽이 더 강한 능력을 획득한 것 같다.,O Dragonite parece ter obtido habilidades mais fortes.,ดูเหมือนว่าแดร็กไนท์จะมีความสามารถที่แข็งแกร่งขึ้น
91,急冻鸟(地狱),急凍鳥,Articuno,Articuno (Địa ngục),프리져,Articuno (Infernal),Articuno (นรก),1090,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},急冻鸟似乎获得了更强的能力,急凍鳥似乎獲得了更強的能力,Articuno seems to have gotten more powerful,Articuno dường như đã có được khả năng mạnh hơn.,프리져가 더 강한 능력을 획득한 것 같다.,Articuno parece ter obtido habilidades mais fortes.,Articuno ดูเหมือนว่าจะมีความสามารถที่แข็งแกร่งขึ้น
92,闪电鸟(地狱),閃電鳥,Zapdos,Zapdos (Địa Ngục),썬더,Zapdos (Inferno),แซปดอส (นรก),1091,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},闪电鸟似乎获得了更强的能力,閃電鳥似乎獲得了更強的能力,Zapdos seems to have gotten more powerful,Zapdos dường như đã có được khả năng mạnh hơn.,썬더가 더 강한 능력을 획득한 것 같다.,Zapdos parece ter obtido habilidades mais fortes.,แซปโดสดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
93,火焰鸟(地狱),火焰鳥,Moltres,Phượng Hoàng lửa (Địa ngục),파이어,Ave de Fogo (Inferno),นกไฟ (นรก),1092,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},火焰鸟似乎获得了更强的能力,火焰鳥似乎獲得了更強的能力,Moltres seems to have gotten more powerful,Chim lửa dường như đã có được khả năng mạnh hơn.,파이어가 더 강한 능력을 획득한 것 같다.,A ave de fogo parece ter ganhado habilidades mais fortes.,นกไฟดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
94,蜥蜴王(地狱),蜥蜴王,Sceptile,Vua Thằn Lằn (Địa Ngục),나무킹,Rei Lagarto (Inferno),ราชาจิ้งจก (นรก),1093,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},蜥蜴王似乎获得了更强的能力,蜥蜴王似乎獲得了更強的能力,Sceptile seems to have gotten more powerful,Vua Thằn Lằn dường như đã có được sức mạnh lớn hơn.,나무킹이 더 강한 능력을 획득한 것 같다.,O Rei Lagarto parece ter ganhado poderes maiores.,ราชาจิ้งจกดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
95,请假王(地狱),請假王,Slaking,Vua Nghỉ Phép (Địa Ngục),게을킹,Rei da Férias (Inferno),ราชาลาพักร้อน (นรก),1094,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},请假王似乎获得了更强的能力,請假王似乎獲得了更強的能力,Slaking seems to have gotten more powerful,Vua Nghỉ phép dường như đã có được khả năng mạnh hơn.,게을킹이 더 강한 능력을 획득한 것 같다.,O Rei das Férias parece ter obtido habilidades mais fortes.,ราชาการลาพักผ่อนดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
96,炎武王(地狱),炎武王,Emboar,Yan Vũ Vương (Địa Ngục),염무왕,Yan Wu Wang (Inferno),หยานอู่หวาง (นรก),1095,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},炎武王似乎获得了更强的能力,炎武王似乎獲得了更強的能力,Emboar seems to have gotten more powerful,Vua Chiến Hỏa dường như đã có được sức mạnh lớn hơn.,염무왕이 더 강한 능력을 획득한 것 같다.,O Rei da Chama parece ter obtido um poder ainda maior.,ราชาเพลิงดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
97,雷公(地狱),雷公,Raikou,Lôi Công (Địa Ngục),라이코,Lei Gong (Inferno),เลย์ กง (นรก),1096,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷公似乎获得了更强的能力,雷公似乎獲得了更強的能力,Raikou seems to have gotten more powerful,Lei Gong dường như đã có được khả năng mạnh hơn.,라이코가 더 강한 능력을 획득한 것 같다.,Lei Gong parece ter obtido poderes mais fortes.,雷公ดูเหมือนจะมีพลังที่แข็งแกร่งขึ้น
98,炎帝(地狱),炎帝,Entei,Yến Đế (Địa Ngục),앤테이,Yan Di (Inferno),เอียนตี้ (นรก),1097,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},炎帝似乎获得了更强的能力,炎帝似乎獲得了更強的能力,Entei seems to have gotten more powerful,Yan Đế dường như đã có được sức mạnh lớn hơn.,앤테이가 더 강한 능력을 획득한 것 같다.,Yan Di parece ter obtido poderes ainda maiores.,ดูเหมือนว่าเผิงตี้จะมีพลังที่แข็งแกร่งขึ้น
99,水君(地狱),水君,Suicune,Vua Nước (Địa Ngục),스이쿤,Monarca da Água (Inferno),กษัตริย์แห่งน้ำ (นรก),1098,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},水君似乎获得了更强的能力,水君似乎獲得了更強的能力,Suicune seems to have gotten more powerful,Suicune dường như đã có được sức mạnh lớn hơn.,스이쿤이 더 강한 능력을 획득한 것 같다.,Suicune parece ter ganhado mais poder.,ดูเหมือนว่าซุยคูนจะมีพลังมากขึ้น
100,梦幻(地狱),夢幻,Mew,Giấc mơ (Địa ngục),뮤,Sonho (Inferno),ความฝัน (นรก),1099,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},梦幻似乎获得了更强的能力,夢幻似乎獲得了更強的能力,Mew seems to have gotten more powerful,Ảo ảnh dường như đã có được khả năng mạnh hơn.,뮤가 더 강한 능력을 획득한 것 같다.,A ilusão parece ter ganhado habilidades mais fortes.,มายาภาพดูเหมือนจะมีพลังที่แข็งแกร่งขึ้น
101,超梦(地狱),超夢,Mewtwo,Mewtwo (Địa Ngục),뮤츠,Mewtwo (Inferno),Mewtwo (นรก),1100,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},超梦似乎获得了更强的能力,超夢似乎獲得了更強的能力,Mewtwo seems to have gotten more powerful,Mewtwo dường như đã có được sức mạnh lớn hơn.,뮤츠가 더 강한 능력을 획득한 것 같다.,Mewtwo parece ter ganhado um poder ainda maior.,Mewtwo ดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
102,自爆磁怪(地狱),自爆磁怪,Magnezone,Nam châm tự hủy (Địa ngục),자포코일,Ímã Autodestrutivo (Inferno),แม่เหล็กทำลายตัวเอง (นรก),1101,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},自爆磁怪似乎获得了更强的能力,自爆磁怪似乎獲得了更強的能力,Magnezone seems to have gotten more powerful,Con quái vật từ trường tự hủy dường như đã có được khả năng mạnh hơn.,자포코일이 더 강한 능력을 획득한 것 같다.,O monstro magnético autodestrutivo parece ter ganhado habilidades mais fortes.,มอนสเตอร์แม่เหล็กที่ทำลายตัวเองดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
103,超甲狂犀(地狱),超甲狂犀,Rhyperior,Siêu Giáp Tê Giác (Địa Ngục),거대코뿌리,Super Rinoceronte Blindado (Inferno),แรดเกราะแข็งพิเศษ (นรก),1102,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},超甲狂犀似乎获得了更强的能力,超甲狂犀似乎獲得了更強的能力,Rhyperior seems to have gotten more powerful,Tê giác siêu giáp dường như đã có được khả năng mạnh hơn.,거대코뿌리가 더 강한 능력을 획득한 것 같다.,O Rinoceronte Superblindado parece ter obtido habilidades mais fortes.,แรดเกราะสุดยอดดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
104,巨钳螳螂(地狱),巨鉗螳螂,Scizor,Bọ Ngựa Khổng Lồ (Địa Ngục),핫삼,Louva-a-deus Gigante (Inferno),ตั๊กแตนตำข้าวยักษ์ (นรก),1103,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},巨钳螳螂似乎获得了更强的能力,巨鉗螳螂似乎獲得了更強的能力,Scizor seems to have gotten more powerful,Con bọ ngựa khổng lồ dường như đã có được khả năng mạnh hơn.,핫삼이 더 강한 능력을 획득한 것 같다.,O Manto-gigante parece ter ganhado habilidades mais fortes.,แมลงตั๊กแตนตำข้าวขนาดยักษ์ดูเหมือนจะมีความสามารถที่แข็งแกร่งขึ้น
105,鸭嘴炎兽(地狱),鴨嘴炎獸,Magmortar,Quái thú địa ngục mỏ vịt,마그마번,Besta Infernal de Bico de Pato,ยมบาลเป็ดปากไฟ,1104,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},鸭嘴炎兽似乎获得了更强的能力,鴨嘴炎獸似乎獲得了更強的能力,Magmortar seems to have gotten more powerful,Con thú lửa mỏ vịt dường như đã có được sức mạnh lớn hơn.,마그마번이 더 강한 능력을 획득한 것 같다.,A Besta Chama Ornitorrinco parece ter ganhado poderes ainda maiores.,สัตว์อสูรเปลวเพลิงปากเป็ดดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
106,电龙(地狱),電龍,Ampharos,Rồng Điện (Địa Ngục),전룡,Dragão Elétrico (Inferno),มังกรไฟฟ้า (นรก),1105,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},电龙似乎获得了更强的能力,電龍似乎獲得了更強的能力,Ampharos seems to have gotten more powerful,Con Rồng Điện dường như đã có được sức mạnh lớn hơn.,전룡이 더 강한 능력을 획득한 것 같다.,O Dragão Elétrico parece ter obtido poderes mais fortes.,มังกรสายฟ้าดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
107,赫拉克罗斯(地狱),赫拉克羅斯,Heracross,Heracross (Địa Ngục),헤라크로스,Heracross (Inferno),เฮอราครอส (นรก),1106,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},赫拉克罗斯似乎获得了更强的能力,赫拉克羅斯似乎獲得了更強的能力,Heracross seems to have gotten more powerful,Heracross dường như đã có được những khả năng mạnh hơn.,헤라크로스가 더 강한 능력을 획득한 것 같다.,Heracross parece ter obtido habilidades mais fortes.,เฮอราครอสดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
108,玛狃拉(地狱),瑪狃拉,Weavile,Manectric (Địa ngục),포푸니라,Manectric (Inferno),แมงเน็คทริค (นรก),1107,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},玛狃拉似乎获得了更强的能力,瑪狃拉似乎獲得了更強的能力,Weavile seems to have gotten more powerful,Manectric dường như đã có được khả năng mạnh hơn.,포푸니라가 더 강한 능력을 획득한 것 같다.,Manectric parece ter obtido habilidades mais fortes.,แม็กนีทอนดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
109,黑鲁加(地狱),黑魯加,Houndoom,Houndoom (Địa ngục),헬가,Houndoom (Inferno),ฮาวน์ดุม (นรก),1108,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},黑鲁加似乎获得了更强的能力,黑魯加似乎獲得了更強的能力,Houndoom seems to have gotten more powerful,Darkrai dường như đã có được sức mạnh hơn.,헬가가 더 강한 능력을 획득한 것 같다.,Darkrai parece ter ganhado mais poder.,ดาร์คไนต์ดูเหมือนจะได้รับพลังมากขึ้น
110,班基拉斯(地狱),班基拉斯,Tyranitar,BanG Dream! (Địa ngục),마기라스,BanG Dream! (Inferno),BanG Dream! (นรก),1109,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},班基拉斯似乎获得了更强的能力,班基拉斯似乎獲得了更強的能力,Tyranitar seems to have gotten more powerful,Tyranitar dường như đã có được sức mạnh lớn hơn.,마기라스가 더 강한 능력을 획득한 것 같다.,Tyranitar parece ter ganhado um poder maior.,ทไทแรนนิทาร์ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
111,雷吉洛克(地狱),雷吉洛克,Regigigas (Hell),Regigigas (Địa ngục),레지락,Regigigas (Inferno),เรจิกิกัส (นรก),1110,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉洛克似乎获得了更强的能力,雷吉洛克似乎獲得了更強的能力,Regirock seems to have gained greater power.,Regice dường như đã có được sức mạnh lớn hơn.,레지락이 더 강한 능력을 획득한 것 같다.,Regice parece ter ganhado um poder maior.,เรจิร็อคดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
112,雷吉艾斯(地狱),雷吉艾斯,Regice (Hell),Regice (Địa ngục),레지아이스,Regice (Inferno),เรจิไอซ์ (นรก),1111,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉艾斯似乎获得了更强的能力,雷吉艾斯似乎獲得了更強的能力,Regice seems to have gained greater power.,Regice dường như đã có được sức mạnh lớn hơn.,레지아이스가 더 강한 능력을 획득한 것 같다.,Regice parece ter ganhado poderes ainda maiores.,เรจิไอซ์ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
113,雷吉斯奇鲁(地狱),雷吉斯奇鲁,Regis Chilu (Hell),Regis Chilu (Địa ngục),레지스틸,Regis Chilu (Inferno),เรจิส ชิลู (นรก),1112,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉斯奇鲁似乎获得了更强的能力,雷吉斯·奇魯似乎獲得了更強的能力,Regis Philbin seems to have gained stronger abilities.,Regis Philbin dường như đã có được khả năng mạnh hơn.,레지스틸이 더 강한 능력을 획득한 것 같다.,Regis Philbin parece ter obtido habilidades mais fortes.,เรจิส ฟิลบินดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
114,大钢蛇(地狱),大钢蛇,Steelix (Hell),Steelix (Địa Ngục),강철톤,Steelix (Inferno),สตีลลิกซ์ (นรก),1113,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},大钢蛇似乎获得了更强的能力,大鋼蛇似乎獲得了更強的能力,Steelix seems to have gained greater power.,Steelix dường như đã có được sức mạnh lớn hơn.,강철톤이 더 강한 능력을 획득한 것 같다.,Parece que o Steelix ganhou mais poder.,ดูเหมือนว่าสตีลิกซ์จะได้รับพลังที่แข็งแกร่งขึ้น
115,巨金怪(地狱),巨金怪,Gengar (Hell),Gengar (Địa Ngục),메타그로스,Gengar (Inferno),耿鬼 (นรก),1114,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},巨金怪似乎获得了更强的能力,巨金怪似乎獲得了更強的能力,Alakazam seems to have gained stronger abilities.,Alakazam dường như đã có được khả năng mạnh hơn.,메타그로스가 더 강한 능력을 획득한 것 같다.,Alakazam parece ter ganhado habilidades mais fortes.,ดูเหมือนว่าเอเลคตรอนจะได้รับความสามารถที่แข็งแกร่งขึ้น
116,双斧战龙(地狱),双斧战龙,Dual Axe War Dragon (Hell),Rồng Chiến Tranh Song Rìu (Địa Ngục),액스라이즈,Dragão de Guerra de Machado Duplo (Inferno),มังกรสงครามขวานคู่ (นรก),1115,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},双斧战龙似乎获得了更强的能力,雙斧戰龍似乎獲得了更強的能力,The Double Axe War Dragon seems to have gained stronger abilities.,Con Rồng Rìu Đôi dường như đã có được sức mạnh hơn.,액스라이즈가 더 강한 능력을 획득한 것 같다.,O Dragão de Guerra da Dupla Machado parece ter obtido habilidades mais fortes.,มังกรสงครามขวานคู่ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
117,路卡利欧(地狱),路卡利欧,Lucario (Infernal),Lucario (Địa ngục),루카리오,Lucario (Infernal),ลูคาริโอ (นรก),1116,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},路卡利欧似乎获得了更强的能力,路卡利歐似乎獲得了更強的能力,Lucario seems to have gained greater power.,Lucario dường như đã có được sức mạnh lớn hơn.,루카리오가 더 강한 능력을 획득한 것 같다.,Lucário parece ter ganhado poderes ainda maiores.,ลูคาริโอ ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
118,盖欧卡(地狱),盖欧卡,Groudon (Hell),Groudon (Địa ngục),가이오가,Groudon (Inferno),Groudon (นรก),1117,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},盖欧卡似乎获得了更强的能力,蓋歐卡似乎獲得了更強的能力,Groudon seems to have gained greater power.,Groudon dường như đã có được sức mạnh lớn hơn.,가이오가가 더 강한 능력을 획득한 것 같다.,Groudon parece ter ganhado poder maior.,Groudon ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
119,固拉多(地狱),固拉多,Groudon (Hell),Groudon (Địa Ngục),그란돈,Groudon (Inferno),Groudon (นรก),1118,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},固拉多似乎获得了更强的能力,固拉多似乎獲得了更強的能力,Groudon seems to have gained greater power.,Groudon dường như đã có được sức mạnh lớn hơn.,그란돈이 더 강한 능력을 획득한 것 같다.,Groudon parece ter ganhado poderes ainda maiores.,ดูเหมือนว่าGroudonจะได้รับพลังที่แข็งแกร่งขึ้น
120,裂空座(地狱),裂空座,Rayquaza (Hell),Rayquaza (Địa Ngục),레쿠쟈,Rayquaza (Inferno),เรย์ควาซ่า (นรก),1119,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},裂空座似乎获得了更强的能力,裂空座似乎獲得了更強的能力,Rayquaza seems to have gained even greater power.,Rayquaza dường như đã có được sức mạnh lớn hơn.,레쿠쟈가 더 강한 능력을 획득한 것 같다.,Rayquaza parece ter obtido um poder ainda maior.,เรย์ควาซ่าดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
