变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
189,3,50,322,【常识】人脑中控制人平衡力的是,【常識】人腦中控制人平衡力的是,[Common sense] What controls balance in the human brain is,,,,,小脑,小腦,Cerebellum,Cerebellum,Cerebellum,Cerebellum,Cerebellum,大脑,大腦,Brain,Brain,Brain,Brain,Brain,间脑,間腦,Diencephalon,Diencephalon,Diencephalon,Diencephalon,Diencephalon,脑干,腦幹,Brain stem,Brain stem,Brain stem,Brain stem,Brain stem,1,
190,3,50,322,【常识】为了便于让望远镜观测天体，天文台的房子屋顶被设计成,【常識】為了便於讓望遠鏡觀測天體，天文臺的房子屋頂被設計成,"[Common sense] In order to allow the telescope to observe celestial bodies, the roof of the observatory’s house is designed as",,,,,圆顶,圓頂,Dome,Dome,Dome,Dome,Dome,方顶,方頂,Square top,Square top,Square top,Square top,Square top,露天,露天,Open air,Open air,Open air,Open air,Open air,密封状态,密封狀態,Sealed state,Sealed state,Sealed state,Sealed state,Sealed state,1,
191,1,50,150,根据图鉴可知，三合一磁怪由三只小磁怪组成，由此猜测三合一磁怪的体重是小磁怪的多少倍？,根據圖鑒可知，三合一磁怪由三只小磁怪組成，由此猜測三合一磁怪的體重是小磁怪的多少倍？,"According to the Pokédex, the Magneton is composed of three Magnemite. From this, guess how many times the weight of the Magneton is the Magnemite?",,,,,10倍,10倍,10 times,10 times,10 times,10 times,10 times,5倍,5倍,5 times,5 times,5 times,5 times,5 times,20倍,20倍,20 times,20 times,20 times,20 times,20 times,3倍,3倍,3 times,3 times,3 times,3 times,3 times,1,
192,1,50,151,有一只精灵的形状和颜色，都与精灵球相似，请问是哪只精灵？,有一只精靈的形狀和顏色，都與精靈球相似，請問是哪只精靈？,"There is an Pokémon in shape and color, which is similar to the Pokéball. Which Pokémon is it?",,,,,霹雳电球,霹靂電球,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,顽皮雷弹,頑皮雷彈,Electrode,Electrode,Electrode,Electrode,Electrode,蛋蛋,蛋蛋,Exeggcute,Exeggcute,Exeggcute,Exeggcute,Exeggcute,幸福蛋,幸福蛋,Blissey,Blissey,Blissey,Blissey,Blissey,1,
193,1,50,152,肯泰罗有几条尾巴？,肯泰羅有幾條尾巴？,How many tails does Tauros have?,,,,,3条,3條,Three,Three,Three,Three,Three,1条,1條,One,One,One,One,One,2条,2條,Two,Two,Two,Two,Two,无,無,no,no,no,no,no,1,
194,1,50,153,哪只精灵在白天时频繁地活动，太阳下山后会突然变得一动不动？,哪只精靈在白天時頻繁地活動，太陽下山後會突然變得一動不動？,Which Pokémon active during the day and suddenly becomes motionless after the sun goes down?,,,,,向日花怪,向日花怪,Sunflora,Sunflora,Sunflora,Sunflora,Sunflora,蜻蜻蜓,蜻蜻蜓,Yanma,Yanma,Yanma,Yanma,Yanma,乌波,烏波,Wooper,Wooper,Wooper,Wooper,Wooper,太阳伊布,太陽伊布,Espeon,Espeon,Espeon,Espeon,Espeon,1,
195,1,50,154,以下精灵中没有毒属性的是？,以下精靈中沒有毒屬性的是？,Which of the following Pokémon are not poison type?,,,,,催眠大师巴大蝶,催眠大師巴大蝶,Hypnotist Butterfree,Hypnotist Butterfree,Hypnotist Butterfree,Hypnotist Butterfree,Hypnotist Butterfree,臭烘烘的臭臭花,臭烘烘的臭臭花,Smelly smelly Gloome,Smelly smelly Gloome,Smelly smelly Gloome,Smelly smelly Gloome,Smelly smelly Gloome,达捏达捏的妙蛙种子,達捏達捏的妙蛙種子,Bulb carrier Bulbasaur,Bulb carrier Bulbasaur,Bulb carrier Bulbasaur,Bulb carrier Bulbasaur,Bulb carrier Bulbasaur,目光呆滞的喇叭芽,目光呆滯的喇叭芽,Dull-eyed Bellsprout,Dull-eyed Bellsprout,Dull-eyed Bellsprout,Dull-eyed Bellsprout,Dull-eyed Bellsprout,1,
196,1,50,155,以下哪种精灵不存在地区形态差异？,以下哪種精靈不存在地區形態差異？,Which of the following Pokémon do not have regional differences?,,,,,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,拉达,拉達,Raticate,Raticate,Raticate,Raticate,Raticate,地鼠,地鼠,Diglett,Diglett,Diglett,Diglett,Diglett,隆隆岩,隆隆巖,Golem,Golem,Golem,Golem,Golem,1,
197,1,50,156,引梦貘人是催眠貘的进化型，二者都是催眠精灵、且以什么为食？,引夢貘人是催眠貘的進化型，二者都是催眠精靈、且以什麽為食？,"Hypno are an evolution form of Drowzee. Both are hypnotic Pokémon, and what do they feed on?",,,,,梦,夢,dream,dream,dream,dream,dream,灵魂,靈魂,Soul,Soul,Soul,Soul,Soul,花蜜,花蜜,Nectar,Nectar,Nectar,Nectar,Nectar,果实,果實,Fruit,Fruit,Fruit,Fruit,Fruit,1,
198,1,50,157,童话中有丑小鸭变为白天鹅，精灵中也有类似的进化。请问是哪只精灵？,童話中有醜小鴨變為白天鵝，精靈中也有類似的進化。請問是哪只精靈？,"In fairy tales, the ugly duckling becomes a white swan, and the Pokémon have a similar evolution. Which Pokémon is it?",,,,,鸭宝宝,鴨寶寶,Ducklett,Ducklett,Ducklett,Ducklett,Ducklett,可达鸭,可達鴨,Psyduck,Psyduck,Psyduck,Psyduck,Psyduck,大葱鸭,大蔥鴨,Farfetch'd,Farfetch'd,Farfetch'd,Farfetch'd,Farfetch'd,鸭嘴宝宝,鴨嘴寶寶,Magby,Magby,Magby,Magby,Magby,1,
199,1,50,158,以下关于雪童子说法错误的是？,以下關於雪童子說法錯誤的是？,Which of the following statements about Snorunt is wrong?,,,,,人们都厌恶雪童子的到来，会带来寒冷,人們都厭惡雪童子的到來，會帶來寒冷,"People hate Snorunt’s arrival, it will bring coldness","People hate Snorunt’s arrival, it will bring coldness","People hate Snorunt’s arrival, it will bring coldness","People hate Snorunt’s arrival, it will bring coldness","People hate Snorunt’s arrival, it will bring coldness",雪童子经过的地方温度会急剧下降,雪童子經過的地方溫度會急劇下降,The temperature of the place where Snorunt passes by will drop sharply,The temperature of the place where Snorunt passes by will drop sharply,The temperature of the place where Snorunt passes by will drop sharply,The temperature of the place where Snorunt passes by will drop sharply,The temperature of the place where Snorunt passes by will drop sharply,雪童子是以吃雪和冰为生的,雪童子是以吃雪和冰為生的,Snorunt lives by eating snow and ice,Snorunt lives by eating snow and ice,Snorunt lives by eating snow and ice,Snorunt lives by eating snow and ice,Snorunt lives by eating snow and ice,雪童子到访过的家会世代繁荣,雪童子到訪過的家會世代繁榮,The family that the Snorunt visited will prosper for generations,The family that the Snorunt visited will prosper for generations,The family that the Snorunt visited will prosper for generations,The family that the Snorunt visited will prosper for generations,The family that the Snorunt visited will prosper for generations,1,
200,1,50,159,无限精灵拉帝亚斯的性别是？,無限精靈拉帝亞斯的性別是？,What is the gender of the Infinite Pokémon Latias?,,,,,雌性,雌性,female,female,female,female,female,雄性,雄性,Male,Male,Male,Male,Male,雄性雌性都有,雄性雌性都有,Both male and female,Both male and female,Both male and female,Both male and female,Both male and female,传说宝可梦无法确认,傳說寶可夢無法確認,Legendary Pokémon cannot be confirmed,Legendary Pokémon cannot be confirmed,Legendary Pokémon cannot be confirmed,Legendary Pokémon cannot be confirmed,Legendary Pokémon cannot be confirmed,1,
201,2,50,261,玛力露丽身上被称为”感应器“的部位是？,瑪力露麗身上被稱為”感應器“的部位是？,What part of Azumarill's body is called the "sensor"?,,,,,耳朵,耳朵,ear,ear,ear,ear,ear,尾巴,尾巴,Tail,Tail,Tail,Tail,Tail,鼻子,鼻子,Nose,Nose,Nose,Nose,Nose,眼睛,眼睛,Eye,Eye,Eye,Eye,Eye,1,
202,2,50,262,毽子花头顶的花一般超过多少度就会开花？,毽子花頭頂的花一般超過多少度就會開花？,How many degree does the flower on the top of Skiploom usually bloom?,,,,,18°,18°,18°,18°,18°,18°,18°,20°,20°,20°,20°,20°,20°,20°,10°,10°,10°,10°,10°,10°,10°,25°,25°,25°,25°,25°,25°,25°,1,
203,2,50,263,大奶罐一天可以产出多少升的牛奶？,大奶罐一天可以產出多少升的牛奶？,How many liters of milk can Miltank produce in a day?,,,,,20升,20升,20 liters,20 liters,20 liters,20 liters,20 liters,15升,15升,15 liters,15 liters,15 liters,15 liters,15 liters,30升,30升,30 liters,30 liters,30 liters,30 liters,30 liters,40升,40升,40 liters,40 liters,40 liters,40 liters,40 liters,1,
204,2,50,264,懒人獭身体总是一动不动的趴着，请问每天懒人獭至少会趴多久？,懶人獺身體總是一動不動的趴著，請問每天懶人獺至少會趴多久？,Slakoth always lie motionless on their stomachs. How long does Slakoth spend at least lying down every day?,,,,,至少20小时,至少20小時,At least 20 hours,At least 20 hours,At least 20 hours,At least 20 hours,At least 20 hours,至少15小时,至少15小時,At least 15 hours,At least 15 hours,At least 15 hours,At least 15 hours,At least 15 hours,趴24小时,趴24小時,Lying for 24 hours,Lying for 24 hours,Lying for 24 hours,Lying for 24 hours,Lying for 24 hours,至少趴18小时,至少趴18小時,Lie down for at least 18 hours,Lie down for at least 18 hours,Lie down for at least 18 hours,Lie down for at least 18 hours,Lie down for at least 18 hours,1,
205,2,50,265,下列精灵中谁的移动速度最慢？,下列精靈中誰的移動速度最慢？,Which of the following Pokémon has the slowest movement speed?,,,,,朝北鼻,朝北鼻,Nosepass,Nosepass,Nosepass,Nosepass,Nosepass,幕下力士,幕下力士,Makuhita,Makuhita,Makuhita,Makuhita,Makuhita,优雅猫,優雅貓,Delcatty,Delcatty,Delcatty,Delcatty,Delcatty,勾魂眼,勾魂眼,Sableye,Sableye,Sableye,Sableye,Sableye,1,
206,2,50,266,利牙鱼在孤身一人的情况下十分胆小且不会去狩猎，但是在多少只同类在一起时就会性情大变？,利牙魚在孤身一人的情況下十分膽小且不會去狩獵，但是在多少只同類在一起時就會性情大變？,"Carvanha is very timid and will not go hunting when alone, but how many of them are together, it will change its habit?",,,,,5只,5只,Five,Five,Five,Five,Five,3只,3只,Three,Three,Three,Three,Three,4只,4只,Four,Four,Four,Four,Four,2只,2只,Two,Two,Two,Two,Two,1,
207,2,50,267,跳跳猪是一种无时无刻不在跳动的精灵，下列阐述不停跳动的原因正确的是？,跳跳豬是一種無時無刻不在跳動的精靈，下列闡述不停跳動的原因正確的是？,Spoink is a kind of Pokémon that jumping all the time. Which of the following explanations of the reasons for the jumping is correct?,,,,,靠着跳跃的震动来使心脏跳动,靠著跳躍的震動來使心臟跳動,Relying on jumping vibrations to make the heart beat,Relying on jumping vibrations to make the heart beat,Relying on jumping vibrations to make the heart beat,Relying on jumping vibrations to make the heart beat,Relying on jumping vibrations to make the heart beat,靠着跳跃的震动来保持平衡,靠著跳躍的震動來保持平衡,Rely on the vibration of the jump to maintain balance,Rely on the vibration of the jump to maintain balance,Rely on the vibration of the jump to maintain balance,Rely on the vibration of the jump to maintain balance,Rely on the vibration of the jump to maintain balance,靠着跳跃的震动来稳定脂肪,靠著跳躍的震動來穩定脂肪,Stabilize fat by jumping vibrations,Stabilize fat by jumping vibrations,Stabilize fat by jumping vibrations,Stabilize fat by jumping vibrations,Stabilize fat by jumping vibrations,靠着跳跃的震动使自己变得有弹性,靠著跳躍的震動使自己變得有彈性,Rely on the vibration of the jump to make itself resilient,Rely on the vibration of the jump to make itself resilient,Rely on the vibration of the jump to make itself resilient,Rely on the vibration of the jump to make itself resilient,Rely on the vibration of the jump to make itself resilient,1,
208,2,50,268,猫鼬斩与生俱来的宿敌是？,貓鼬斬與生俱來的宿敵是？,What is the rival enemy of Zangoose?,,,,,饭匙蛇,飯匙蛇,Seviper,Seviper,Seviper,Seviper,Seviper,泥泥鳅,泥泥鰍,Barboach,Barboach,Barboach,Barboach,Barboach,铁螯龙虾,鐵螯龍蝦,Crawdaunt,Crawdaunt,Crawdaunt,Crawdaunt,Crawdaunt,太古盔甲,太古盔甲,Armaldo,Armaldo,Armaldo,Armaldo,Armaldo,1,
209,2,50,269,雷吉洛克、雷吉艾斯、雷吉斯奇鲁虽然"眼睛"的排列不一致，但是"眼睛"数量是一样的。请问，一共有多少只眼睛？,雷吉洛克、雷吉艾斯、雷吉斯奇魯雖然"眼睛"的排列不一致，但是"眼睛"數量是一樣的。請問，一共有多少只眼睛？,"Regirock, Regice, and Registeel are inconsistent in the arrangement of ""eyes"", but the number of ""eyes"" is the same. How many eyes are there in total?",,,,,7个,7個,7,7,7,7,7,6个,6個,Six,Six,Six,Six,Six,8个,8個,Eight,Eight,Eight,Eight,Eight,9个,9個,Nine,Nine,Nine,Nine,Nine,1,
210,2,50,270,结草儿会将身边的材料会成为身体的一部分，因而出现不同形态。哪只不是目前已有形态？,結草兒會將身邊的材料會成為身體的一部分，因而出現不同形態。哪只不是目前已有形態？,"Burmy will make the materials around it become part of the body, thus appearing in different forms. Which one is not in its current known form?",,,,,花海蓑衣,花海蓑衣,Flower Cloak,Flower Cloak,Flower Cloak,Flower Cloak,Flower Cloak,垃圾蓑衣,垃圾蓑衣,Trash Cloak,Trash Cloak,Trash Cloak,Trash Cloak,Trash Cloak,砂土蓑衣,砂土蓑衣,Sandy Cloak,Sandy Cloak,Sandy Cloak,Sandy Cloak,Sandy Cloak,草木蓑衣,草木蓑衣,Plant Cloak,Plant Cloak,Plant Cloak,Plant Cloak,Plant Cloak,1,
211,2,50,271,大舌舔的舌头可以伸出很长，请问目前最长的记录是多少？,大舌舔的舌頭可以伸出很長，請問目前最長的記錄是多少？,Lickilicky can stick out its tongue for a long time. What is the longest record so far?,,,,,25米,25米,25 meters,25 meters,25 meters,25 meters,25 meters,20米,20米,20 meters,20 meters,20 meters,20 meters,20 meters,30米,30米,30 meters,30 meters,30 meters,30 meters,30 meters,35米,35米,35 meters,35 meters,35 meters,35 meters,35 meters,1,
212,2,50,272,通常精灵进化会引起身体上的变异，以下哪只精灵在进化后脚会消失？,通常精靈進化會引起身體上的變異，以下哪只精靈在進化後腳會消失？,Usually the evolution of Pokémon will cause physical mutations. Which of the following  Pokémon’s foot will disappear after evolution?,,,,,藤藤蛇,藤藤蛇,Snivy,Snivy,Snivy,Snivy,Snivy,皮丘,皮丘,Pichu,Pichu,Pichu,Pichu,Pichu,暖暖猪,暖暖豬,Tepig,Tepig,Tepig,Tepig,Tepig,水水獭,水水獺,Oshawott,Oshawott,Oshawott,Oshawott,Oshawott,1,
213,2,50,273,燃烧虫会通过5只角中喷出火焰与对手战斗，火焰的温度能达到多少度？,燃燒蟲會通過5只角中噴出火焰與對手戰鬥，火焰的溫度能達到多少度？,Larvesta will shoot flames from 5 horns to fight against their opponents. How much temperature can the flame reach?,,,,,3000°,3000°,3000°,3000°,3000°,3000°,3000°,4000°,4000°,4000°,4000°,4000°,4000°,4000°,5000°,5000°,5000°,5000°,5000°,5000°,5000°,6000°,6000°,6000°,6000°,6000°,6000°,6000°,1,
214,2,50,274,传说精灵龙卷云的"化身形态"下半身被云包裹着，当它变为"灵兽形态"会有什么变化？,傳說精靈龍卷雲的"化身形態"下半身被雲包裹著，當它變為"靈獸形態"會有什麽變化？,Legendadry Pokémon Tornadus’s lower body is wrapped in clouds when in Incarnate Forme. What will happen when it changes to the "Therian Forme"?,,,,,双手变为了翅膀,雙手變為了翅膀,Hands become wings,Hands become wings,Hands become wings,Hands become wings,Hands become wings,变为了龙得形态,變為了龍得形態,Changed into a dragon form,Changed into a dragon form,Changed into a dragon form,Changed into a dragon form,Changed into a dragon form,四肢可在陆地上行走,四肢可在陸地上行走,Developing limbs that can walk on land,Developing limbs that can walk on land,Developing limbs that can walk on land,Developing limbs that can walk on land,Developing limbs that can walk on land,全身化为风一样的气态,全身化為風一樣的氣態,The whole body turned into a wind-like gaseous state,The whole body turned into a wind-like gaseous state,The whole body turned into a wind-like gaseous state,The whole body turned into a wind-like gaseous state,The whole body turned into a wind-like gaseous state,1,
215,2,50,275,下列关于妙喵说法错误的是？,下列關於妙喵說法錯誤的是？,Which of the following statements about Espurr is wrong?,,,,,妙喵平时表情丰富，是训练师的开心果,妙喵平時表情豐富，是訓練師的開心果,Espurr usually has a rich expression and is a trainer’s treat,Espurr usually has a rich expression and is a trainer’s treat,Espurr usually has a rich expression and is a trainer’s treat,Espurr usually has a rich expression and is a trainer’s treat,Espurr usually has a rich expression and is a trainer’s treat,妙喵的进化形态是分雌雄的,妙喵的進化形態是分雌雄的,Espurr's evolution form has male and female differences,Espurr's evolution form has male and female differences,Espurr's evolution form has male and female differences,Espurr's evolution form has male and female differences,Espurr's evolution form has male and female differences,妙喵的进化形身上只有白色和蓝色,妙喵的進化形身上只有白色和藍色,Espurr’s evolution form only has white and blue on its body,Espurr’s evolution form only has white and blue on its body,Espurr’s evolution form only has white and blue on its body,Espurr’s evolution form only has white and blue on its body,Espurr’s evolution form only has white and blue on its body,妙喵拥有强大的精神力,妙喵擁有強大的精神力,Espurr  has a strong psychic power,Espurr  has a strong psychic power,Espurr  has a strong psychic power,Espurr  has a strong psychic power,Espurr  has a strong psychic power,1,
216,2,50,276,花舞鸟是一种有着不同形态风格的精灵，以下列举中不是花舞鸟的形态的是？,花舞鳥是一種有著不同形態風格的精靈，以下列舉中不是花舞鳥的形態的是？,Oricorio is a kind of Pokémon with different forms and styles. Which ones are not in the form of Oricorio?,,,,,轻柔轻柔风格,輕柔輕柔風格,Sensu Style,Sensu Style,Sensu Style,Sensu Style,Sensu Style,热辣热辣风格,熱辣熱辣風格,Baile Style,Baile Style,Baile Style,Baile Style,Baile Style,啪滋啪滋风格,啪滋啪滋風格,Pom-Pom Style,Pom-Pom Style,Pom-Pom Style,Pom-Pom Style,Pom-Pom Style,呼拉呼拉风格,呼拉呼拉風格,Pa'u Style,Pa'u Style,Pa'u Style,Pa'u Style,Pa'u Style,1,
217,2,50,277,蚊香蛙皇头上的卷毛越长、越漂亮会证明什么？,蚊香蛙皇頭上的卷毛越長、越漂亮會證明什麽？,What does the longer and more beautiful the curls on the head of Politoed prove?,,,,,是王者的证明，受同伴尊敬,是王者的證明，受同伴尊敬,"It is the proof of the king, respected by the companions","It is the proof of the king, respected by the companions","It is the proof of the king, respected by the companions","It is the proof of the king, respected by the companions","It is the proof of the king, respected by the companions",会吸引更多吸引异性,會吸引更多吸引異性,Attract more of the other gender,Attract more of the other gender,Attract more of the other gender,Attract more of the other gender,Attract more of the other gender,在月下唱歌声音更大,在月下唱歌聲音更大,Singing louder under the moon,Singing louder under the moon,Singing louder under the moon,Singing louder under the moon,Singing louder under the moon,使用技能的能力更强,使用技能的能力更強,Stronger ability to use skills,Stronger ability to use skills,Stronger ability to use skills,Stronger ability to use skills,Stronger ability to use skills,1,
218,2,50,278,怪力有着发达的4条手臂，请问根据图鉴记载这4条手臂在2秒内可挥出多少拳？,怪力有著發達的4條手臂，請問根據圖鑒記載這4條手臂在2秒內可揮出多少拳？,Machampi has 4 developed arms. How many punches can these 4 arms strike in 2 seconds according to the Pokédex?,,,,,1000拳,1000拳,1000 punches,1000 punches,1000 punches,1000 punches,1000 punches,500拳,500拳,500 punches,500 punches,500 punches,500 punches,500 punches,100拳,100拳,100 punches,100 punches,100 punches,100 punches,100 punches,200拳,200拳,200 punches,200 punches,200 punches,200 punches,200 punches,1,
219,2,50,279,毒刺水母会使用触手缠绕猎物，被缠绕的猎物无法逃走。请问毒刺水母在记载中有多少个触手？,毒刺水母會使用觸手纏繞獵物，被纏繞的獵物無法逃走。請問毒刺水母在記載中有多少個觸手？,"Tentacruel will use tentacles to entangle their prey, and the entangled prey cannot escape. How many tentacles does Tentacruel have in the record?",,,,,80只,80只,Eighty,Eighty,Eighty,Eighty,Eighty,100只,100只,A hundred,A hundred,A hundred,A hundred,A hundred,50只,50只,Fifty,Fifty,Fifty,Fifty,Fifty,10只,10只,Ten,Ten,Ten,Ten,Ten,1,
220,2,50,280,多刺菊石兽是一种濒临灭绝的精灵。请问导致这种精灵灭绝的原因是？,多刺菊石獸是一種瀕臨滅絕的精靈。請問導致這種精靈滅絕的原因是？,Omastar is a kind of Pokémon that are on the verge of extinction. What caused the extinction of this kind of Pokémon?,,,,,因为壳太重，很难捕捉猎物,因為殼太重，很難捕捉獵物,"Because the shell is too heavy, it’s difficult to catch prey","Because the shell is too heavy, it’s difficult to catch prey","Because the shell is too heavy, it’s difficult to catch prey","Because the shell is too heavy, it’s difficult to catch prey","Because the shell is too heavy, it’s difficult to catch prey",因为其他宝可梦都以它为食,因為其他寶可夢都以它為食,Because other Pokémon feed on it,Because other Pokémon feed on it,Because other Pokémon feed on it,Because other Pokémon feed on it,Because other Pokémon feed on it,因为火山喷发，基本都变为化石了,因為火山噴發，基本都變為化石了,"Because of the volcanic eruption, it basically turned into fossils","Because of the volcanic eruption, it basically turned into fossils","Because of the volcanic eruption, it basically turned into fossils","Because of the volcanic eruption, it basically turned into fossils","Because of the volcanic eruption, it basically turned into fossils",因为海水缩减，无法呼吸而灭绝,因為海水縮減，無法呼吸而滅絕,"Extinct because of the shrinking sea water, unable to breathe","Extinct because of the shrinking sea water, unable to breathe","Extinct because of the shrinking sea water, unable to breathe","Extinct because of the shrinking sea water, unable to breathe","Extinct because of the shrinking sea water, unable to breathe",1,
221,2,50,281,以下哪只精灵是会在古代遗迹中发现的珍奇精灵？,以下哪只精靈是會在古代遺跡中發現的珍奇精靈？,Which of the following Pokémon are rare Pokémon that found in ancient ruins?,,,,,天秤偶,天秤偶,Baltoy,Baltoy,Baltoy,Baltoy,Baltoy,七夕青鸟,七夕青鳥,Altaria,Altaria,Altaria,Altaria,Altaria,呆火驼,呆火駝,Numel,Numel,Numel,Numel,Numel,跳跳猪,跳跳豬,Spoink,Spoink,Spoink,Spoink,Spoink,1,
222,2,50,282,双尾怪手的尾巴共有几根手指？,雙尾怪手的尾巴共有幾根手指？,How many fingers does the tail of the Ambipom have?,,,,,6根,6根,Six,Six,Six,Six,Six,3根,3根,Three,Three,Three,Three,Three,8根,8根,Eight,Eight,Eight,Eight,Eight,10根,10根,Ten,Ten,Ten,Ten,Ten,1,
223,2,50,283,以下哪只精灵在鼻子嗅到敌人时会突然喷出很臭的液体赶走敌人，且臭液的气味会扩散半径２公里的范围？,以下哪只精靈在鼻子嗅到敵人時會突然噴出很臭的液體趕走敵人，且臭液的氣味會擴散半徑２公裏的範圍？,"Which of the following Pokémon will suddenly spray a very stinky liquid to drive away the enemy when it smells an enemy, and the smell of the stinky liquid will spread within a radius of 2 kilometers?",,,,,臭鼬噗,臭鼬噗,Stunky,Stunky,Stunky,Stunky,Stunky,臭臭花,臭臭花,Gloom,Gloom,Gloom,Gloom,Gloom,臭泥,臭泥,Grimer,Grimer,Grimer,Grimer,Grimer,霸王花,霸王花,Vileplume,Vileplume,Vileplume,Vileplume,Vileplume,1,
224,2,50,284,小福蛋怀中经常抱着什么？,小福蛋懷中經常抱著什麽？,What does Happiny always hold in his arms?,,,,,石头,石頭,stone,stone,stone,stone,stone,蛋,蛋,Egg,Egg,Egg,Egg,Egg,球,球,Ball,Ball,Ball,Ball,Ball,冰块,冰塊,Ice cube,Ice cube,Ice cube,Ice cube,Ice cube,1,
225,2,50,285,圆蝌蚪一般使用什么方法告知同伴有危险？,圓蝌蚪一般使用什麽方法告知同伴有危險？,What methods do Tympole generally use to inform their companions that they are dangerous?,,,,,通过振动脸颊,通過振動臉頰,By vibrating cheeks,By vibrating cheeks,By vibrating cheeks,By vibrating cheeks,By vibrating cheeks,通过摇动尾巴,通過搖動尾巴,By waving the tail,By waving the tail,By waving the tail,By waving the tail,By waving the tail,通过大声呼叫,通過大聲呼叫,By calling out loud,By calling out loud,By calling out loud,By calling out loud,By calling out loud,通过发射水枪提示,通過發射水槍提示,Notice by shooting water,Notice by shooting water,Notice by shooting water,Notice by shooting water,Notice by shooting water,1,
226,2,50,286,野蛮鲈鱼会有两个样式：红色条纹和蓝色条纹的。请问当把二者放在一个鱼缸内会发生什么？,野蠻鱸魚會有兩個樣式：紅色條紋和藍色條紋的。請問當把二者放在一個魚缸內會發生什麽？,There are two styles of Basculin: red striped and blue striped. What happens when you put the two in a fish tank?,,,,,打作一团,打作一團,Fight together,Fight together,Fight together,Fight together,Fight together,无事发生,無事發生,Nothing happened,Nothing happened,Nothing happened,Nothing happened,Nothing happened,生下小鱼,生下小魚,Give birth to small fish,Give birth to small fish,Give birth to small fish,Give birth to small fish,Give birth to small fish,二者融合为一条,二者融合為一條,The two merge into one,The two merge into one,The two merge into one,The two merge into one,The two merge into one,1,
227,2,50,287,火红不倒翁在睡觉的时候会蜷缩起手脚，体内燃烧的火焰也会变小并安静下来。请问体内燃烧的火焰温度通常为？,火紅不倒翁在睡覺的時候會蜷縮起手腳，體內燃燒的火焰也會變小並安靜下來。請問體內燃燒的火焰溫度通常為？,"Darumaka would curl up his hands and feet when sleeping, and the flames burning inside would become smaller and quiet. What is the usual temperature of the flame burning in the body?",,,,,600度,600度,600 degrees,600 degrees,600 degrees,600 degrees,600 degrees,400度,400度,400 degrees,400 degrees,400 degrees,400 degrees,400 degrees,1000度,1000度,1000 degrees,1000 degrees,1000 degrees,1000 degrees,1000 degrees,720度,720度,720 degrees,720 degrees,720 degrees,720 degrees,720 degrees,1,
228,2,50,288,以下哪只精灵愿意用生命去守护自己信赖的训练家，并拥有预知未来的能力？,以下哪只精靈願意用生命去守護自己信賴的訓練家，並擁有預知未來的能力？,Which of the following Pokémon are willing to use their lives to protect their trusted trainer and having the ability to predict the future?,,,,,沙奈朵,沙奈朵,Gardevoir,Gardevoir,Gardevoir,Gardevoir,Gardevoir,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,烈焰马,烈焰馬,Rapidash,Rapidash,Rapidash,Rapidash,Rapidash,伊布,伊布,Eevee,Eevee,Eevee,Eevee,Eevee,1,
229,2,50,289,下列哪只精灵性情非常高傲，且每一只认为自己是最了不起的？,下列哪只精靈性情非常高傲，且每一只認為自己是最了不起的？,"Which of the following Pokémon has a very arrogant personality, and considers itself the most remarkable?",,,,,波皇子,波皇子,Prinplup,Prinplup,Prinplup,Prinplup,Prinplup,美纳斯,美納斯,Milotic,Milotic,Milotic,Milotic,Milotic,藤藤蛇,藤藤蛇,Snivy,Snivy,Snivy,Snivy,Snivy,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,1,
230,2,50,290,小猫怪是可爱的电光精灵，尾巴的末端非常可爱，请问末端的形状是？,小貓怪是可愛的電光精靈，尾巴的末端非常可愛，請問末端的形狀是？,Shinx are cute Electric-type Pokémon. The end of the tail is very cute. What is the shape of the end?,,,,,一个黄色的四角形,一個黃色的四角形,A yellow quadrangle,A yellow quadrangle,A yellow quadrangle,A yellow quadrangle,A yellow quadrangle,一个黄色的爱心,一個黃色的愛心,A yellow heart,A yellow heart,A yellow heart,A yellow heart,A yellow heart,一个黄色的闪电,一個黃色的閃電,A yellow thunder,A yellow thunder,A yellow thunder,A yellow thunder,A yellow thunder,一个黄色的五角星,一個黃色的五角星,A yellow five-pointed star,A yellow five-pointed star,A yellow five-pointed star,A yellow five-pointed star,A yellow five-pointed star,1,
