变量名,_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,sender_pt,sender_th,subject,subject_tw,subject_en,subject_vn,subject_kr,subject_pt,subject_th,content,content_tw,content_en,content_vn,content_kr,content_pt,content_th,attachs,special
62,跨服石英大会冠军押注成功奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Global Indigo Conference Betting Reward,跨服石英大會冠軍押注成功獎勵,Global Indigo Conference Betting Reward,Phần thưởng Đặt cược Hội nghị Chàm Toàn cầu,글로벌 석영 대회 우승 베팅 성공 보상,Recompensa de Aposta da Conferência Índigo Global,รางวัลเดิมพันการประชุมอินดิโกโกลบอล,"Dear trainers:\n    Congratulations, you have predicted the champion of the Global Indigo Plateau Conference correctly! Your betting rewards have been sent via mail please, check. \n   Happy gaming!",親愛的小夥伴:\n    恭喜您，在跨服石英中成功預測冠軍選手，下注獎勵已隨郵件發送，請及時查收。。\n    祝您遊戲愉快!,"Dear trainers:\n    Congratulations, you have predicted the champion of the Global Indigo Plateau Conference correctly! Your betting rewards have been sent via mail please, check. \n   Happy gaming!","Các nhà huấn luyện thân mến:\n    Chúc mừng, bạn đã dự đoán đúng nhà vô địch của Hội nghị Cao nguyên Chàm Toàn cầu! Phần thưởng đặt cược của bạn đã được gửi qua thư, vui lòng kiểm tra. \n   Chúc bạn chơi game vui vẻ!","트레이너님: \n   축하합니다. 글로벌 석영 대회에서 우승 선수 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요.\n   즐거운 게임 되시길 바랍니다!","Caros Treinadores:\n    Parabéns, você previu o campeão da Conferência Global do Planalto Índigo corretamente! Suas recompensas de aposta foram enviadas por correio, por favor, verifique. \n   Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอแสดงความยินดี คุณทายแชมป์ของการประชุมอินดิโกโกลบอลถูก! รางวัลเดิมพันของคุณถูกส่งไปทางจดหมายแล้ว โปรดตรวจสอบ \n   ขอให้สนุกกับการเล่นเกม!,,
63,跨服石英大会冠军押注失败奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Global Indigo Conference Betting Reward,跨服石英大會冠軍押注失敗獎勵,Global Indigo Conference Betting Reward,Phần thưởng Đặt cược Hội nghị Chàm Toàn cầu,글로벌 석영 대회 우승 베팅 실패 보상,Recompensa de Aposta da Conferência Índigo Global,รางวัลเดิมพันการประชุมอินดิโกโกลบอล,"Dear friends:\n You unfortunately did not guess the Global Indigo Plateau Conference Champion correctly. Consolation rewards have been sent via mail, please claim it.\n Better luck next time!",親愛的小夥伴:\n    很遺憾，在跨服石英中未成功預測冠軍選手，補償獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\n You unfortunately did not guess the Global Indigo Plateau Conference Champion correctly. Consolation rewards have been sent via mail, please claim it.\n Better luck next time!","Các bạn thân mến:\n Rất tiếc bạn đã không đoán đúng Nhà vô địch Hội nghị Cao nguyên Chàm Toàn cầu. Phần thưởng an ủi đã được gửi qua thư, vui lòng nhận.\n Chúc bạn may mắn lần sau!","트레이너님: \n   아쉽게도 글로벌 석영 대회에서 우승 선수 예측에 실패하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caros amigos:\n Infelizmente, você não acertou o Campeão da Conferência Global do Planalto Índigo. Recompensas de consolação foram enviadas por correio, por favor, resgate.\n Mais sorte da próxima vez!",ถึงเพื่อนๆ:\n โชคไม่ดีที่คุณทายแชมป์การประชุมอินดิโกโกลบอลไม่ถูก รางวัลปลอบใจถูกส่งไปทางจดหมายแล้ว โปรดรับรางวัล\n ขอให้โชคดีในครั้งต่อไป!,,
64,跨服竞技场7日结算奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Global Arena 7-day Rewards,跨服竞技场7日结算奖励,Global Arena 7-day Rewards,Phần thưởng 7 ngày Đấu trường Toàn cầu,글로벌 아레나 7일 결산 보상,Recompensas de 7 dias da Arena Global,รางวัล 7 วันของอารีน่าโกลบอล,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Weekly Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服競技場7日結算時位於%s第%d名哦，段位獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Weekly Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,"Người chơi thân mến: \n    Chúc mừng! Bạn đã thắng ở Hạng %s, vị trí %d trong Đấu trường Liên server (Thanh toán hàng tuần). Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. Hãy tiếp tục cố gắng hết mình. \n    Chúc bạn chơi game vui vẻ!","트레이너님: \n   축하합니다. 글로벌 아레나 7일 결산 시 %s %d위를 달성하였으며, 랭크 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro Jogador: \n    Parabéns! Você venceu no Ranque %s, Nº %d na Arena Inter-servidor (Acerto Semanal). Sua recompensa foi enviada por correio. Por favor, verifique a tempo. Continue se esforçando ao máximo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ยินดีด้วย! คุณชนะในอันดับ %s ที่ %d ในอารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลรายสัปดาห์) รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา พยายามต่อไป \n    ขอให้สนุกกับเกมของคุณ!,,
65,跨服竞技场结束结算奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,End of Global Arena Rewards,跨服竞技场结束结算奖励,End of Global Arena Rewards,Phần thưởng Kết thúc Đấu trường Toàn cầu,글로벌 아레나 종료 결산 보상,Recompensas de Fim da Arena Global,รางวัลสิ้นสุดอารีน่าโกลบอล,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服競技場季終結算時位於%s第%d名哦，段位獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won in Rank %s No. %d in Cross-server Arena (Seasonal Settlement). Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,"Người chơi thân mến: \n    Chúc mừng! Bạn đã thắng ở Hạng %s, vị trí %d trong Đấu trường Liên server (Thanh toán theo mùa). Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. Hãy tiếp tục cố gắng hết mình. \n    Chúc bạn chơi game vui vẻ!","트레이너님: \n   축하합니다. 글로벌 아레나 시즌 종료 결산 시 %s %d위를 달성하였으며, 랭크 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro Jogador: \n    Parabéns! Você venceu no Ranque %s, Nº %d na Arena Inter-servidor (Acerto de Temporada). Sua recompensa foi enviada por correio. Por favor, verifique a tempo. Continue se esforçando ao máximo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ยินดีด้วย! คุณชนะในอันดับ %s ที่ %d ในอารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลตามฤดูกาล) รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา พยายามต่อไป \n    ขอให้สนุกกับเกมของคุณ!,,
66,钓鱼大赛排名奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Fishing Tournament Ranking Reward,釣魚大賽排名獎勵,Fishing Tournament Ranking Reward,Phần thưởng Xếp hạng Giải câu cá,낚시대회 순위 보상,Recompensa de Ranking do Torneio de Pesca,รางวัลอันดับการแข่งขันตกปลา,Dear Player: \n    Congrats! You won No.%d in the Fishing Tournament. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在釣魚大賽中獲得了第%d名，排名獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You won No.%d in the Fishing Tournament. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!,Người chơi thân mến: \n    Chúc mừng! Bạn đã giành được vị trí %d trong Giải câu cá. Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. \n    Chúc bạn chơi game vui vẻ!,"트레이너님: \n   축하합니다. 낚시대회에서 %d위를 달성하였으며, 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro Jogador: \n    Parabéns! Você venceu o Nº %d no Torneio de Pesca. Sua recompensa foi enviada por correio. Por favor, verifique a tempo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ยินดีด้วย! คุณได้รับอันดับที่ %d ในการแข่งขันตกปลา รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา \n    ขอให้สนุกกับเกมของคุณ!,,
67,钓鱼大赛自动钓鱼奖励补发,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Fishing Tournament Auto-fishing Reward,釣魚大賽自動釣魚獎勵,Fishing Tournament Auto-fishing Reward,Phần thưởng Câu cá Tự động Giải câu cá,낚시대회 자동 낚시 보상,Recompensa de Pesca Automática do Torneio de Pesca,รางวัลตกปลาอัตโนมัติจากการแข่งขันตกปลา,"Dear Player: \n    In this Fishing Tournament, you succeeded %d times and failed %d times with auto-fishing. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!",親愛的小夥伴:\n    您在本次釣魚大賽中，自動釣魚成功%d次，失敗%d次，累積獲得的獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear Player: \n    In this Fishing Tournament, you succeeded %d times and failed %d times with auto-fishing. Your reward has been sent by mail. Please check in time. \n    Enjoy your game!","Người chơi thân mến: \n    Trong Giải câu cá lần này, bạn đã thành công %d lần và thất bại %d lần với chế độ câu tự động. Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. \n    Chúc bạn chơi game vui vẻ!","트레이너님: \n   이번 낚시대회에서 자동 낚시에 %d회 성공하고, %d회 실패했습니다. 누적 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro Jogador: \n    Neste Torneio de Pesca, você teve sucesso %d vezes e falhou %d vezes com a pesca automática. Sua recompensa foi enviada por correio. Por favor, verifique a tempo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ในการแข่งขันตกปลาครั้งนี้ คุณสำเร็จ %d ครั้ง และล้มเหลว %d ครั้งด้วยการตกปลาอัตโนมัติ รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา \n    ขอให้สนุกกับเกมของคุณ!,,
68,道馆本服荣誉馆主奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Honorary Gym Leader Reward (Your Server),道館本服榮譽館主獎勵,Honorary Gym Leader Reward (Your Server),Phần thưởng Thủ lĩnh Nhà thi đấu Danh dự (Server của bạn),체육관 본 서버 명예 관장 보상,Recompensa de Líder de Ginásio Honorário (Seu Servidor),รางวัลหัวหน้ายิมกิตติมศักดิ์ (เซิร์ฟเวอร์ของคุณ),Dear Player: \n    Congrats! You became %s Honorary Gym Leader of your server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在道館結算時成為本服%s榮譽館主，獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You became %s Honorary Gym Leader of your server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,Người chơi thân mến: \n    Chúc mừng! Bạn đã trở thành Thủ lĩnh Nhà thi đấu Danh dự %s của máy chủ của bạn. Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. Hãy tiếp tục cố gắng hết mình. \n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   축하합니다. 체육관 결산 시 본 서버 %s 명예 관장의 자리에 올랐습니다. 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro Jogador: \n    Parabéns! Você se tornou o Líder de Ginásio Honorário %s do seu servidor. Sua recompensa foi enviada por correio. Por favor, verifique a tempo. Continue se esforçando ao máximo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ยินดีด้วย! คุณได้เป็นหัวหน้ายิมกิตติมศักดิ์ %s ของเซิร์ฟเวอร์ของคุณ รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา พยายามต่อไป \n    ขอให้สนุกกับเกมของคุณ!,,
69,跨服道馆荣誉馆主奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Honorary Gym Leader Reward (Cross-server),跨服道館榮譽館主獎勵,Honorary Gym Leader Reward (Cross-server),Phần thưởng Thủ lĩnh Nhà thi đấu Danh dự (Liên server),글로벌 체육관 명예 관장 보상,Recompensa de Líder de Ginásio Honorário (Inter-servidor),รางวัลหัวหน้ายิมกิตติมศักดิ์ (ข้ามเซิร์ฟเวอร์),Dear Player: \n    Congrats! You became %s Honorary Gym Leader of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服道館結算時成為%s榮譽館主，獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You became %s Honorary Gym Leader of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,Người chơi thân mến: \n    Chúc mừng! Bạn đã trở thành Thủ lĩnh Nhà thi đấu Danh dự %s của Liên server. Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. Hãy tiếp tục cố gắng hết mình. \n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   축하합니다. 글로벌 체육관 결산 시 %s 명예 관장의 자리에 올랐습니다. 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro Jogador: \n    Parabéns! Você se tornou o Líder de Ginásio Honorário %s do Inter-servidor. Sua recompensa foi enviada por correio. Por favor, verifique a tempo. Continue se esforçando ao máximo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ยินดีด้วย! คุณได้เป็นหัวหน้ายิมกิตติมศักดิ์ %s ของข้ามเซิร์ฟเวอร์ รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา พยายามต่อไป \n    ขอให้สนุกกับเกมของคุณ!,,
70,跨服道馆荣誉馆员奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Honorary Gym Member Reward (Cross-server),跨服道館榮譽館員獎勵,Honorary Gym Member Reward (Cross-server),Phần thưởng Hội viên Nhà thi đấu Danh dự (Liên server),글로벌 체육관 명예 트레이너 보상,Recompensa de Membro de Ginásio Honorário (Inter-servidor),รางวัลสมาชิกยิมกิตติมศักดิ์ (ข้ามเซิร์ฟเวอร์),Dear Player: \n    Congrats! You became %s Honorary Gym Member of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在跨服道館結算時成為%s榮譽館員，獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    Congrats! You became %s Honorary Gym Member of Cross-server. Your reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,Người chơi thân mến: \n    Chúc mừng! Bạn đã trở thành Hội viên Nhà thi đấu Danh dự %s của Liên server. Phần thưởng của bạn đã được gửi qua thư. Vui lòng kiểm tra kịp thời. Hãy tiếp tục cố gắng hết mình. \n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   축하합니다. 글로벌 체육관 결산 시 %s 명예 트레이너의 자리에 올랐습니다. 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro Jogador: \n    Parabéns! Você se tornou o Membro de Ginásio Honorário %s do Inter-servidor. Sua recompensa foi enviada por correio. Por favor, verifique a tempo. Continue se esforçando ao máximo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    ยินดีด้วย! คุณได้เป็นสมาชิกยิมกิตติมศักดิ์ %s ของข้ามเซิร์ฟเวอร์ รางวัลของคุณถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา พยายามต่อไป \n    ขอให้สนุกกับเกมของคุณ!,,
71,道馆副本通关奖励补发,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Gym Dungeon Reward Makeup,道館副本通關獎勵補發,Gym Dungeon Reward Makeup,Bù Phần thưởng Phó bản Nhà thi đấu,체육관 던전 클리어 보상 보충,Compensação de Recompensa da Masmorra de Ginásio,รางวัลชดเชยดันเจี้ยนยิม,Dear Player: \n    You haven't claim your Gym Dungeon Reward. Reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,親愛的小夥伴:\n    恭喜您在%s道館副本通關獎勵未領取，進行補發獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear Player: \n    You haven't claim your Gym Dungeon Reward. Reward has been sent by mail. Please check in time. Keep on trying your best. \n    Enjoy your game!,Người chơi thân mến: \n    Bạn chưa nhận Phần thưởng Phó bản Nhà thi đấu. Phần thưởng đã được gửi qua thư. Vui lòng kiểm tra kịp thời. Hãy tiếp tục cố gắng hết mình. \n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   축하합니다. 수령하지 않은 %s 체육관 던전 클리어 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro Jogador: \n    Você não resgatou sua Recompensa da Masmorra de Ginásio. A recompensa foi enviada por correio. Por favor, verifique a tempo. Continue se esforçando ao máximo. \n    Aproveite seu jogo!",ถึงผู้เล่น: \n    คุณยังไม่ได้รับรางวัลดันเจี้ยนยิมของคุณ รางวัลถูกส่งทางจดหมายแล้ว โปรดตรวจสอบให้ทันเวลา พยายามต่อไป \n    ขอให้สนุกกับเกมของคุณ!,,
72,元素挑战被提出房间,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Elemental Challenge - Kickout Notice,元素挑戰—請出通知,Elemental Challenge - Kickout Notice,Thử thách Nguyên tố - Thông báo Trục xuất,엘리멘탈 챌린지-강퇴 알림,Desafio Elemental - Aviso de Expulsão,การท้าทายธาตุ - ประกาศเตะออก,"Dear Player: \n    Unfortunately, you have been kicked out the Elemental Challenge room as you didn't complete any challenge for a long time.",親愛的小夥伴:\n    很遺憾的通知妳，由於妳加入了元素挑戰房間但是很長時間內沒有完成至少1次挑戰，所以被請出了房間。,"Dear Player: \n    Unfortunately, you have been kicked out the Elemental Challenge room as you didn't complete any challenge for a long time.","Người chơi thân mến: \n    Rất tiếc, bạn đã bị kick khỏi phòng Thử thách Nguyên tố vì không hoàn thành bất kỳ thử thách nào trong một thời gian dài.",친구에게: \n    아쉽게도 귀하가 들어간 엘리멘탈 챌린지 방에서 귀하가 오랜 시간 동안 최소 1회의 도전도 진행하지 않아 방에서 강퇴되었습니다,"Caro Jogador: \n    Infelizmente, você foi expulso da sala do Desafio Elemental por não completar nenhum desafio por um longo tempo.",ถึงผู้เล่น: \n    น่าเสียดาย คุณถูกเตะออกจากห้องท้าทายธาตุเนื่องจากคุณไม่ได้ทำการท้าทายใดๆ เป็นเวลานาน,,
73,元素挑战通知投票,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Elemental Challenge - Vote Invitation,元素挑戰—邀請投票,Elemental Challenge - Vote Invitation,Thử thách Nguyên tố - Lời mời Bỏ phiếu,엘리멘탈 챌린지-투표 요청,Desafio Elemental - Convite para Votação,การท้าทายธาตุ - คำเชิญโหวต,Dear Player: \n    Players in your room initiated the Host Removal Vote. It is important for you to get the Participants Reward. Join it now!\n    Enjoy your game!,親愛的小夥伴:\n    妳所在的房間內有小夥伴發起了請出房主的投票，趕快去參與呀！這對於妳是否能拿到房間內完成挑戰人數達成獎勵來說非常重要！\n    祝您遊戲愉快!,Dear Player: \n    Players in your room initiated the Host Removal Vote. It is important for you to get the Participants Reward. Join it now!\n    Enjoy your game!,Người chơi thân mến: \n    Những người chơi trong phòng của bạn đã khởi xướng Bỏ phiếu Loại bỏ Chủ phòng. Điều quan trọng là bạn phải nhận được Phần thưởng Tham gia. Tham gia ngay!\n    Chúc bạn chơi game vui vẻ!,친구에게: \n    귀하가 속한 방에서 어떤 동료가 방장 강퇴 투표를 올렸습니다. 어서 참여하세요! 방의 도전 완료 인원수 달성 보상 획득 여부와 관련된 중요한 안건입니다! \n    즐거운 게임 되세요!,Caro Jogador: \n    Jogadores em sua sala iniciaram a Votação para Remoção do Anfitrião. É importante que você obtenha a Recompensa de Participante. Participe agora!\n    Aproveite seu jogo!,ถึงผู้เล่น: \n    ผู้เล่นในห้องของคุณได้เริ่มการโหวตเพื่อถอดถอนเจ้าของห้อง การรับรางวัลผู้เข้าร่วมเป็นสิ่งสำคัญสำหรับคุณ เข้าร่วมเลย!\n    ขอให้สนุกกับเกมของคุณ!,,
74,元素挑战警告房主,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Elemental Challenge - Kickout Warning,元素挑戰—被T警告,Elemental Challenge - Kickout Warning,Thử thách Nguyên tố - Cảnh báo Trục xuất,엘리멘탈 챌린지-강퇴 경고,Desafio Elemental - Alerta de Expulsão,การท้าทายธาตุ - คำเตือนการเตะออก,"Dear Player: \n    As a Host of the room, you haven't completed any challenge so far. Thus other players are voting to kick you out. Go to the room and complete the challenge before it's too late!",親愛的小夥伴:\n    作為壹房之主的妳，因為當前沒有完成至少1次挑戰，受到了其他小夥伴的請出房間的投票，投票正在進行，現在還來得及，趕快前往房間完成挑戰吧！,"Dear Player: \n    As a Host of the room, you haven't completed any challenge so far. Thus other players are voting to kick you out. Go to the room and complete the challenge before it's too late!","Người chơi thân mến: \n    Là Chủ phòng, bạn chưa hoàn thành bất kỳ thử thách nào. Do đó, những người chơi khác đang bỏ phiếu để kick bạn ra. Hãy vào phòng và hoàn thành thử thách trước khi quá muộn!",친구에게: \n    방장으로서 현재 최고 1회의 도전도 진행하지 않아 다른 동료의 강퇴 투표 대상이 되었습니다. 투표는 진행중이니 아직 늦지 않았습니다. 어서 도전을 진행하세요!,"Caro Jogador: \n    Como Anfitrião da sala, você não completou nenhum desafio até agora. Portanto, outros jogadores estão votando para expulsá-lo. Vá para a sala e complete o desafio antes que seja tarde demais!",ถึงผู้เล่น: \n    ในฐานะเจ้าของห้อง คุณยังไม่ได้ทำการท้าทายใดๆ เลย ดังนั้นผู้เล่นคนอื่นกำลังโหวตเพื่อเตะคุณออก ไปที่ห้องและทำการท้าทายก่อนที่จะสายเกินไป!,,
75,元素挑战新房主,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Elemental Challenge - New Host Notice,元素挑戰—新房主通知,Elemental Challenge - New Host Notice,Thử thách Nguyên tố - Thông báo Chủ phòng Mới,엘리멘탈 챌린지-새로운 방장 알림,Desafio Elemental - Aviso de Novo Anfitrião,การท้าทายธาตุ - ประกาศเจ้าของห้องคนใหม่,Dear Player: \n    The former Host has been kicked out for inactivity. Now you are the new Host. Invite players to challenge now. It is important for you to get the Participants Reward!\n    Enjoy your game!,親愛的小夥伴:\n    妳所在的挑戰房間內前房主不作為，已被請出房間，現在妳是新房主啦，快去邀請其他小夥伴來房間挑戰吧，這對妳們是否能夠拿到所有完成挑戰的人次獎勵來說非常重要呀！\n    祝您遊戲愉快!,Dear Player: \n    The former Host has been kicked out for inactivity. Now you are the new Host. Invite players to challenge now. It is important for you to get the Participants Reward!\n    Enjoy your game!,Người chơi thân mến: \n    Chủ phòng trước đã bị kick vì không hoạt động. Bây giờ bạn là Chủ phòng mới. Mời người chơi tham gia thử thách ngay. Điều quan trọng là bạn phải nhận được Phần thưởng Tham gia!\n    Chúc bạn chơi game vui vẻ!,친구에게: \n    귀하가 속한 도전 방의 방장이 아무것도 하지 않아 방에서 강퇴되었습니다. 이제 귀하가 방장이 되었으며 어서 다른 동료들을 방으로 초대해 도전을 진행하세요. 방의 도전 완료 인원수 달성 보상 획득 여부와 관련된 중요한 안건입니다! \n    즐거운 게임 되세요!,Caro Jogador: \n    O Anfitrião anterior foi expulso por inatividade. Agora você é o novo Anfitrião. Convide jogadores para o desafio agora. É importante que você obtenha a Recompensa de Participante!\n    Aproveite seu jogo!,ถึงผู้เล่น: \n    เจ้าของห้องคนก่อนถูกเตะออกเนื่องจากไม่มีการเคลื่อนไหว ตอนนี้คุณคือเจ้าของห้องคนใหม่ เชิญผู้เล่นมาท้าทายเลย การรับรางวัลผู้เข้าร่วมเป็นสิ่งสำคัญสำหรับคุณ!\n    ขอให้สนุกกับเกมของคุณ!,,
76,以太乐园积分奖励迭代补发,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Aether Paradise Point Reward Makeup,以太樂園積分獎勵未領補發,Aether Paradise Point Reward Makeup,Bù Phần thưởng Điểm Thiên đường Aether,에테르파라다이스 포인트 미수령 보상 발급,Compensação de Recompensa de Pontos do Paraíso Aether,รางวัลชดเชยคะแนนสวรรค์อีเธอร์,Dear Player: \n    We updated contents in Point Reward. Your unclaimed reward is attached. Hope to see you again in the Aether Paradise!\n    Enjoy your game!,親愛的小夥伴:\n    我們更新了積分獎勵的內容，之前妳有達成但卻未領取的獎勵查收附件如下，希望能在以太樂園中再看到妳矯健的身姿！\n    祝您遊戲愉快!,Dear Player: \n    We updated contents in Point Reward. Your unclaimed reward is attached. Hope to see you again in the Aether Paradise!\n    Enjoy your game!,Người chơi thân mến: \n    Chúng tôi đã cập nhật nội dung trong Phần thưởng Điểm. Phần thưởng chưa nhận của bạn được đính kèm. Hy vọng sẽ gặp lại bạn tại Thiên đường Aether!\n    Chúc bạn chơi game vui vẻ!,친구에게: \n    포인트 보상 내용이 업데이트됐습니다. 이전에 달성했지만 아직 수령하지 않은 보상은 첨부파일에서 확인할 수 있습니다. 에테르파라다이스에서 다시 뵙길 기대하고 있겠습니다! \n    즐거운 게임 되세요!,Caro Jogador: \n    Atualizamos os conteúdos da Recompensa por Pontos. Sua recompensa não resgatada está anexa. Esperamos vê-lo novamente no Paraíso Aether!\n    Aproveite seu jogo!,ถึงผู้เล่น: \n    เราได้อัปเดตเนื้อหาในรางวัลคะแนน รางวัลที่ยังไม่ได้รับของคุณได้ถูกแนบมาด้วย หวังว่าจะได้พบคุณอีกครั้งในสวรรค์อีเธอร์!\n    ขอให้สนุกกับเกมของคุณ!,,
