变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
85004,4.世界Boss有免费挑战次数，也可额外购买，次数达到上限后当日不可再进战斗，次数在次日5点重置,4.世界BOSS有免費挑戰次數，也可額外購買，次數達到上限後當日不可再進戰鬥，次數在次日5點重置,"4. Players are given a free chance to challenge the World Boss. It can also be purchased additionally. After the number of chances reaches the limit, players can no longer start enter the challenge. The number of chances is reset at 05:00 the next day.",,"""4. 월드보스는 무료 도전 횟수가 주어지며, 추가 구매도 가능합니다. 횟수가 한도에 도달할 경우 당일은 더는 전투를 진행할 수 없으며, 횟수는 다음 날 0시에 초기화됩니다.""","4. Os jogadores recebem uma chance gratuita de desafiar o World Boss. Também pode ser comprado adicionalmente. Após o número de chances atingir o limite, os jogadores não podem mais começar a entrar no desafio. O número de chances é reiniciado às 05:00 do dia seguinte.",4. ผู้เล่นจะได้รับโอกาสในการท้าทายบอสโลกฟรี โดยสามารถซื้อเพิ่มเติมได้ เมื่อจำนวนโอกาสถึงขีดจำกัด ผู้เล่นจะไม่สามารถเข้าร่วมการท้าทายได้อีก จำนวนโอกาสจะถูกรีเซ็ตในเวลา 05:00 น. ของวันถัดไป
85005,5.当日挑战世界Boss单次造成的个人最高伤害将被记录进个人排行与公会排行榜，排行榜与伤害记录在次日5点重置,5.當日挑戰世界BOSS單次造成的個人最高傷害將被記錄進個人排行與公會排行榜，排行榜與傷害記錄在次日5點重置,5. The highest individual single damage dealt during the daily World Boss challenge will be recorded for the individual and guild ranking. The leaderboards and damage records will reset at 05:00 the next day.,,"""5. 당일 월드보스에게 도전해 단일 전투로 입힌 개인 최고 피해는 개인 순위 및 길드 순위에 기록되며, 순위 및 피해 기록은 다음 날 0시에 초기화됩니다.""",5. O maior dano individual causado durante o desafio diário do World Boss será registrado para o ranking individual e de guilda. As tabelas de classificação e os registros de dano serão reiniciados às 05:00 do dia seguinte.,5. ความเสียหายสูงสุดที่เกิดขึ้นต่อบุคคลในระหว่างความท้าทายบอสโลกประจำวันจะถูกบันทึกสำหรับการจัดอันดับบุคคลและกิลด์ กระดานผู้นำและบันทึกความเสียหายจะรีเซ็ตในเวลา 05:00 น. ของวันถัดไป
85006,6.登上排行榜的玩家与公会都将获得排行奖励，奖励预览请点击排名奖励按钮，奖励将在次日5点通过邮件的形式发放,6.登上排行榜的玩家與公會都將獲得排行獎勵，獎勵預覽請點擊排名獎勵按鈕，獎勵將在次日5點通過郵件的形式發放,"6. Players on the leaderboard and guilds will receive ranking awards. For reward preview, please tap the ranking reward button. Rewards will be distributed via email at 05:00 the next day.",,"""6. 순위에 오른 유저와 길드는 모두 순위 보상을 획득하며, 보상은 순위 보상 버튼을 터치해 미리 확인할 수 있습니다. 보상은 다음 날 0시에 우편을 통해 지급됩니다.""","6. Jogadores na tabela de classificação e guildas receberão prêmios de classificação. Para uma prévia da recompensa, toque no botão de recompensa de classificação. As recompensas serão distribuídas por e-mail às 05:00 do dia seguinte.",6. ผู้เล่นบนกระดานผู้นำและกิลด์จะได้รับรางวัลการจัดอันดับ สำหรับการดูตัวอย่างรางวัล โปรดแตะปุ่มรางวัลการจัดอันดับ รางวัลจะแจกทางอีเมลในเวลา 05:00 น. ของวันถัดไป
85007,7.没有加入公会的玩家不进入公会排行，若数据重置前加入公会，则只记录在新公会之后的世界Boss挑战信息,7.沒有加入公會的玩家不進入公會排行，若資料重置前加入公會，則只記錄在新公會之後的世界BOSS挑戰資訊,"7. Players who have not joined a guild cannot enter the guild ranking. If they join a guild before the data is refreshed, only the information on the World Boss challenge after joining the new guild is recorded.",,"""7. 길드에 가입하지 않은 유저는 길드 순위에 포함되지 않으며, 데이터 초기화 전에 길드에 가입할 경우, 길드 가입 이후의 월드보스 도전 정보만 기록됩니다.""","7. Jogadores que não se juntaram a uma guilda não podem entrar no ranking da guilda. Se eles se juntarem a uma guilda antes que os dados sejam atualizados, apenas as informações sobre o desafio do World Boss após se juntar à nova guilda são registradas.",7. ผู้เล่นที่ยังไม่ได้เข้าร่วมกิลด์จะไม่สามารถเข้าสู่การจัดอันดับกิลด์ได้ หากผู้เล่นเข้าร่วมกิลด์ก่อนที่ข้อมูลจะได้รับการรีเฟรช จะมีการบันทึกเฉพาะข้อมูลเกี่ยวกับความท้าทายบอสโลกหลังจากเข้าร่วมกิลด์ใหม่เท่านั้น
85008,8.玩家在已有公会的情况下进入世界BOSS战斗后退出公会，数据重置前再次加入公会将不在新公会产生自己的伤害数据,8.玩家在已有公會的情況下進入世界BOSS戰鬥後退出公會，資料重置前再次加入公會將不在新公會產生自己的傷害資料,"8. If players leave the guild after entering the World Boss Challenge with their previous guild, before the data reset, the amount of damage dealt will not be reflected if they enter the challenge with their new guild.",,"""8. 유저가 월드보스 전투 후 길드를 탈퇴할 경우, 데이터 초기화 전에 다시 길드에 가입해도 자신의 신규 길드에서 피해 데이터가 발생하지 않습니다.""","8. Se os jogadores deixarem a guilda após entrarem no Desafio do Chefe Mundial com sua guilda anterior, antes da redefinição de dados, a quantidade de dano causado não será refletida se eles entrarem no desafio com sua nova guilda.",8. หากผู้เล่นออกจากกิลด์หลังจากเข้าร่วมการท้าทาย World Boss ด้วยกิลด์ก่อนหน้า ก่อนที่ข้อมูลจะรีเซ็ต จำนวนความเสียหายที่เกิดขึ้นจะไม่สะท้อนกลับมาหากพวกเขาเข้าร่วมการท้าทายด้วยกิลด์ใหม่
,,,,,,,
,,,,,,,
86001,1.跨服竞技场需要等待服务器间匹配，当匹配成功后，会在界面展示#C0xF76B45#匹配成功等待开赛状态#C0x5B545B#,1.跨服競技場需要等待伺服器間匹配，當匹配成功後，會在界面展示#C0xF76B45#匹配成功等待開賽狀態#C0x5B545B#,"1. When being matched up in the Cross-server Arena, you will see #C0xF76B45#Match Found. Please wait...#C0x5B545B# on your screen.",,"""1. 글로벌 아레나는 서버 간 매칭이 필요하며, 매칭 성공 시 메뉴에 #C0xF76B45#매칭 성공, 경기 시작 대기 상태#C0x5B545B#가 표시됩니다.""","1. Ao ser pareado na Arena Cross-server, você verá #C0xF76B45#Match Found. Aguarde...#C0x5B545B# na sua tela.",1. เมื่อจับคู่กันใน Cross-server Arena คุณจะเห็น #C0xF76B45#Match Found โปรดรอสักครู่...#C0x5B545B# บนหน้าจอของคุณ
86002,2.赛季流程：#C0xF76B45#赛季开赛（两周14日）——赛季结束，玩家展示（持续5日）——准备开赛（预告2日）,2.賽季流程：#C0xF76B45#賽季開賽（兩周14日）——賽季結束，玩家展示（持續5日）——準備開賽（預告2日）,"2. Season Schedule #C0xF76B45#Season Started (14 days) - Season Ended, Player Display (5 days) - Preparation (Announcement for 2 days)",,"""2. 시즌 과정: #C0xF76B45#시즌 시작(2주 14일) - 시즌 종료, 유저 공개(5일간 지속) - 시작 준비(2일 예고)""","2. Cronograma da temporada #C0xF76B45#Temporada iniciada (14 dias) - Temporada encerrada, Exibição do jogador (5 dias) - Preparação (Anúncio para 2 dias)",2. ตารางฤดูกาล #C0xF76B45#ฤดูกาลเริ่มต้น (14 วัน) - ฤดูกาลสิ้นสุด การแสดงตัวผู้เล่น (5 วัน) - การเตรียมการ (ประกาศ 2 วัน)
86003,3.赛季过程中设置2次排名结算，分别为#C0xF76B45#赛季第7日22:00时阶段性结算，以及第14日22:00赛季季终结算,3.賽季過程中設置2次排名結算，分別為#C0xF76B45#賽季第7日22:00時階段性結算，以及第14日22:00賽季季終結算,"3. There are 2 settlements during the Season: #C0xF76B45#Day 7 Stage Settlement at 22:00, Day 14 Final Settlement at 22:00.",,"""3. 시즌 중 2회의 순위 결산이 진행되며, #C0xF76B45#시즌 7일 차 22:00에 중간 결산, 14일 차 22:00에 시즌 최종 결산을 진행합니다.""","3. Há 2 assentamentos durante a temporada: #C0xF76B45#Dia 7 Etapa de assentamento às 22:00, Dia 14 Etapa de assentamento final às 22:00.",3. มีการชำระเงิน 2 ครั้งตลอดฤดูกาล: #C0xF76B45# การชำระเงินรอบวัน 7 เวลา 22:00 น. การชำระเงินรอบสุดท้ายของวัน 14 เวลา 22:00 น.
86004,4.赛季中，每日有免费的挑战次数，也可额外花费钻石购买挑战次数，次数每天5点重置 ,4.賽季中，每日有免費的挑戰次數，也可額外花費鉆石購買挑戰次數，次數每天5點重置 ,4. Players can enjoy free daily attempts (Reset at 5 am every day) or purchase extra attempts with Diamonds.,,"""4. 시즌 중 매일 무료 도전 횟수가 주어지며, 다이아를 소모해 추가 구매도 가능합니다. 횟수는 매일 0시에 초기화됩니다. """,4. Os jogadores podem aproveitar tentativas diárias gratuitas (reiniciadas às 5 da manhã todos os dias) ou comprar tentativas extras com Diamantes.,4. ผู้เล่นสามารถเพลิดเพลินไปกับการทดลองเล่นฟรีรายวัน (รีเซ็ตทุกวันเวลา 05.00 น.) หรือซื้อการทดลองเล่นเพิ่มเติมด้วยเพชร
86005,5.玩家可以手动刷新可挑战对手，手动刷新有免费次数，当免费次数使用完之后，需要花费金币刷新对手，手动刷新免费次数每天5点进行重置,5.玩家可以手動刷新可挑戰對手，手動刷新有免費次數，當免費次數使用完之後，需要花費金幣刷新對手，手動刷新免費次數每天5點進行重置,5. Players can refresh available opponent manually with certain free chances (Reset at 5 am every day) or refresh opponent with Coins if free chances is used up.,,"""5. 유저는 수동으로 도전 가능 상대를 갱신할 수 있으며, 수동 갱신은 무료 횟수가 주어집니다. 무료 횟수를 모두 사용하면 코인을 소모해 상대를 갱신할 수 있고, 수동 갱신 무료 횟수는 매일 0시에 초기화됩니다.""",5. Os jogadores podem atualizar o oponente disponível manualmente com certas chances gratuitas (reiniciar às 5 da manhã todos os dias) ou atualizar o oponente com moedas se as chances gratuitas acabarem.,5. ผู้เล่นสามารถรีเฟรชคู่ต่อสู้ที่มีอยู่ได้ด้วยตนเองด้วยโอกาสฟรีบางอย่าง (รีเซ็ตทุกวันเวลา 05.00 น.) หรือรีเฟรชคู่ต่อสู้ด้วยเหรียญหากโอกาสฟรีหมดลง
86006,6.赛季段位有大段位与小段位的展示区别，大段位按照#C0xF76B45#青铜—白银—黄金—铂金—钻石—无畏大师—巅峰王者#C0x5B545B#低到高排序，小段位则按照数字大小排序，数字越小，排序越高，无畏大师、巅峰王者不设小段位,6.賽季段位有大段位與小段位的展示區別，大段位按照#C0xF76B45#青銅—白銀—黃金—鉑金—鉆石—無畏大師—巔峰王者#C0x5B545B#低到高排序，小段位則按照數字大小排序，數字越小，排序越高，無畏大師、巔峰王者不設小段位,"6. Season Rank includes ranks and divisions. The order of Ranks: #C0xF76B45#Bronze<Silver<Gold<Platinum<Diamond<Master<Apex#C0x5B545B#. Divisions are displayed in numbers. The smaller the number, the higher the division. Divisions apply to all ranks except Master and Apex.",,"""6. 시즌 랭크는 메인 랭크와 세부 랭크로 구분됩니다. 메인 랭크는 #C0xF76B45#브론즈 - 실버 - 골드 - 플래티넘 - 다이아 - 마스터 - 챌린저#C0x5B545B# 순으로 높아지며, 세부 랭크는 숫자의 순서대로 높아집니다. 마스터, 챌린저 랭크는 세부 랭크가 없습니다.""","6. A classificação da temporada inclui classificações e divisões. A ordem das classificações: #C0xF76B45#Bronze<Prata<Ouro<Platina<Diamante<Mestre<Ápex#C0x5B545B#. As divisões são exibidas em números. Quanto menor o número, maior a divisão. As divisões se aplicam a todas as classificações, exceto Mestre e Ápex.",6. อันดับประจำฤดูกาลประกอบด้วยอันดับและดิวิชั่น ลำดับของอันดับ: #C0xF76B45#บรอนซ์<เงิน<ทอง<แพลตตินัม<เพชร<มาสเตอร์<เอเพ็กซ์#C0x5B545B# ดิวิชั่นจะแสดงเป็นตัวเลข ยิ่งตัวเลขน้อย ดิวิชั่นก็จะยิ่งสูงขึ้น ดิวิชั่นจะมีผลกับทุกอันดับ ยกเว้นมาสเตอร์และเอเพ็กซ์
86007,7.每个小段位内设定有排名，排名有限定的名次，每个训练家都将按照段位>段位内排名进行总的排序（无小段位的则以大段位来进行排序）,7.所有的段位均按照高到低對應排名的高到低進行區間劃分，每個段位設定有壹個排名區間，賽季中挑戰對手的排名按照段位內的排名進行展示，排行榜內則以總排名展示,7. Players will be ranked in their divisions which contains a limited number of players only. All players will also be ranked together based on their divisions/ranks and their standings in the divisions/ranks.,,"""7. 모든 랭크는 높은 순으로 순위가 구분되며, 각 랭크는 하나의 순위 구간으로 설정됩니다. 시즌 중 도전한 상대의 순위는 랭크 내 순위에 따라 표시되며, 순위표에는 총 순위가 표시됩니다.""","7. Os jogadores serão classificados em suas divisões, que contêm apenas um número limitado de jogadores. Todos os jogadores também serão classificados juntos com base em suas divisões/classificações e suas posições nas divisões/classificações.",7. ผู้เล่นจะได้รับการจัดอันดับตามดิวิชั่นที่ประกอบด้วยผู้เล่นจำนวนจำกัด ผู้เล่นทั้งหมดจะได้รับการจัดอันดับร่วมกันตามดิวิชั่น/อันดับและอันดับในดิวิชั่น/อันดับนั้นๆ
86008,8.在对战情报内，可提供查看最近一段时间内高段位玩家之间的对战视频,8.在對戰情報內，可提供檢視最近一段時間內高段位玩家之間的對戰視頻,8. Players can review battle video of high rank players in the Battle Intel,,8. 대전 정보에서는 최근 일정 시간 동안 고랭크 유저 간의 대전 영상을 볼 수 있습니다.,8. Os jogadores podem rever vídeos de batalha de jogadores de alto escalão no Battle Intel,8. ผู้เล่นสามารถตรวจสอบวิดีโอการต่อสู้ของผู้เล่นระดับสูงใน Battle Intel
,,,,,,,
87001,1.对战前，玩家可以布阵2组队伍，可上阵不少于2个不多于12只精灵,1.對戰前，玩家可以布陣2組隊伍，可上陣不少於2個不多於12只精靈,"1. Before the battle, players can form 2 teams, but each team must have 2 to 12 Pokémons.",,"""1. 대전 전 유저는 2개 파티의 라인업을 진행할 수 있으며, 2~12마리의 포켓몬을 출전시킬 수 있습니다.""","1. Antes da batalha, os jogadores podem formar 2 equipes, mas cada equipe deve ter de 2 a 12 Pokémon.",1. ก่อนการต่อสู้ ผู้เล่นสามารถจัดเป็นทีม 2 ทีม แต่แต่ละทีมต้องมีโปเกมอน 2 ถึง 12 ตัว
87002,2.战斗实行6V6车轮战，最多3轮战斗，第一轮胜利的队伍会保持当前状态继续挑战对方的下一支队伍,2.戰鬥實行6V6車輪戰，至多3輪戰鬥，第壹輪勝利的隊伍會保持當前狀態繼續挑戰對方的下壹支隊伍,2. Players will compete in 6V6 attrition battles (up to 3 rounds). The team that won the first round will continue to challenge the next rival team with current status.,,"""2. 전투는 6대6 태그매치로 진행되며, 최대 3라운드 전투가 펼쳐집니다. 첫 라운드 승리 유저는 상대의 다음 팀에게 도전합니다.""",2. Os jogadores competirão em batalhas de atrito 6V6 (até 3 rodadas). A equipe que vencer a primeira rodada continuará a desafiar a próxima equipe rival com status atual.,2. ผู้เล่นจะแข่งขันกันในศึกลดคะแนนแบบ 6 ต่อ 6 (สูงสุด 3 รอบ) ทีมที่ชนะในรอบแรกจะแข่งขันกับทีมคู่แข่งในลำดับต่อไปที่มีสถานะปัจจุบัน
87003,3.一方2队的精灵全战败则判失败，若回合结束未分胜负的，则血量多的一方判胜利,3.壹方2隊的精靈全戰敗則判失敗，若回合結束未分勝負的，則血量多的壹方判勝利,"3. The group loses if all Pokémon of its 2 teams are knocked out. If there is no winner at the end of the round, the one with the highest HP wins.",,"""3. 한쪽의 2개 팀 포켓몬이 모두 쓰러진 경우 패배하며, 턴 종료까지 승부가 결정되지 않은 경우, 남은 HP 퍼센트가 높은 쪽이 승리합니다.""","3. O grupo perde se todos os Pokémon de seus 2 times forem eliminados. Se não houver vencedor no final da rodada, aquele com o maior HP vence.",3. หากโปเกมอนของทั้ง 2 ทีมถูกน็อคเอาท์หมด กลุ่มจะแพ้ หากไม่มีผู้ชนะเมื่อจบรอบ โปเกมอนที่มี HP สูงที่สุดจะเป็นผู้ชนะ
87004,4.跨服竞技场的战斗方式为#C0xF76B45#锁定自动战斗#C0x5B545B#,4.跨服競技場的戰鬥方式為#C0xF76B45#鎖定自動戰鬥#C0x5B545B#,4. Battle Mode of Cross-server Arena: #C0xF76B45#Locked Auto-fight#C0x5B545B#,,4. 글로벌 아레나의 전투 방식은 #C0xF76B45#자동 전투 고정#C0x5B545B#입니다.,4. Modo de batalha da arena entre servidores: #C0xF76B45#Luta automática bloqueada#C0x5B545B#,4. โหมดการต่อสู้ของสนามประลองข้ามเซิร์ฟเวอร์: #C0xF76B45#ล็อคการต่อสู้อัตโนมัติ#C0x5B545B#
87005,5.玩家主动挑战对手，若战斗胜利，则与对方互换排名；若战斗失败，则排名不进行变化,5.玩家主動挑戰對手，若戰鬥勝利，則與對方互換排名；若戰鬥失敗，則排名不進行變化,"5. Players can challenge their opponent. If won, rank swapped; if failed, no changes to rank.",,"""5. 유저는 직접 상대에게 도전하며, 전투 승리 시 상대와 순위를 변경합니다.전투 패배 시 순위는 변경되지 않습니다.""","5. Os jogadores podem desafiar seus oponentes. Se vencerem, a classificação é trocada; se falharem, nenhuma alteração na classificação.",5. ผู้เล่นสามารถท้าทายคู่ต่อสู้ได้ หากชนะ อันดับจะสลับกัน หากล้มเหลว อันดับจะไม่มีการเปลี่ยนแปลง
87006,6.对方主动挑战玩家时，将派出玩家的防守阵容迎战，排名更迭与战斗结束关系与上条一致,6.對方主動挑戰玩家時，將派出玩家的防守陣容迎戰，排名更疊與戰鬥結束關系與上條壹致,"6. If players are challenged, the Defensive Lineup will be deployed. Outcomes are consistent with Rule 5.",,"""6. 상대가 유저에게 도전 시 유저의 방어 라인업을 사용해 응전하며, 전투 결과에 따라 이상과 동일한 방식으로 순위가 결정됩니다.""","6. Se os jogadores forem desafiados, a Escalação Defensiva será implantada. Os resultados são consistentes com a Regra 5.",6. หากผู้เล่นถูกท้าทาย จะต้องส่งผู้เล่นแนวรับลงสนาม โดยผลลัพธ์จะสอดคล้องกับกฎข้อที่ 5
,,,,,,,
88001,1.每日挑战达成任务次数之后，可以手动在竞技奖励-每日奖励页签中领取奖励，每天5点重置任务,1.每日挑戰達成任務次數之後，可以手動在競技獎勵-每日獎勵頁簽中領取獎勵，每天5點重置任務,"1. After completing the required number of quests in Daily Challenge, players can claim rewards at Competition Reward-Daily Challenge Page. Quest resets at 5 am every day.",,1. 매일 도전을 통해 퀘스트 횟수를 달성하면 수동으로 아레나 보상-일일 보상 페이지에서 보상을 수령할 수 있습니다. 퀘스트는 매일 0시에 초기화됩니다.,"1. Após completar o número necessário de missões no Desafio Diário, os jogadores podem reivindicar recompensas na página Recompensa da Competição-Desafio Diário. A missão reinicia às 5 da manhã todos os dias.",1. หลังจากทำภารกิจประจำวันครบตามจำนวนที่กำหนดแล้ว ผู้เล่นสามารถรับรางวัลได้ที่หน้ารางวัลการแข่งขัน-ภารกิจประจำวัน ภารกิจจะรีเซ็ตเวลา 5.00 น. ของทุกวัน
88002,2.当最高段位记录更新时，可以手动在竞技奖励-段位奖励页签中领取奖励，该奖励每个赛季结束后进行重置,2.當最高段位記錄更新時，可以手動在競技獎勵-段位獎勵頁簽中領取獎勵，該獎勵每個賽季結束後進行重置,"2. When the highest rank record is changed, players can claim rewards at Competition Reward-Rank Reward Page. It resets at the end of each season.",,"""2. 최고 랭크 기록이 갱신되면, 수동으로 아레나 보상-랭크 보상 페이지에서 보상을 수령할 수 있고, 보상은 시즌 종료 후 초기화됩니다.""","2. Quando o registro de classificação mais alta é alterado, os jogadores podem reivindicar recompensas na página Competition Reward-Rank Reward. Ela é reiniciada no final de cada temporada.",2. เมื่อบันทึกอันดับสูงสุดเปลี่ยนแปลง ผู้เล่นสามารถรับรางวัลได้ที่หน้ารางวัลการแข่งขัน-รางวัลอันดับ ซึ่งจะรีเซ็ตเมื่อสิ้นสุดฤดูกาลแต่ละฤดูกาล
88003,3.赛季过程中2次排名结算，会根据段位以邮件发放奖励，奖励详情可前往竞技奖励-赛季七日、赛季最终页签进行查看,3.賽季過程中2次排名結算，會根據段位以郵件發放獎勵，獎勵詳情可前往競技獎勵-賽季七日、賽季最終頁簽進行檢視,"3. Rank Reward for 2 Settlements in the Season will be sent through mail. Check Competition Reward-Seasonal 7-Day, Seasonal Final Page for details.",,"""3. 시즌 중 2회의 순위 결산이 진행되며, 랭크에 따라 우편으로 보상을 지급합니다. 보상 내용은 아레나 보상-시즌 7일, 시즌 최종 페이지에서 확인할 수 있습니다.""","3. A recompensa de classificação para 2 assentamentos na temporada será enviada pelo correio. Verifique a página Recompensa da competição - Temporada de 7 dias, Final da temporada para obter detalhes.",3. รางวัลอันดับสำหรับการตั้งถิ่นฐาน 2 แห่งในฤดูกาลจะถูกส่งทางไปรษณีย์ ดูรายละเอียดในหน้าสุดท้ายของรางวัลการแข่งขันประจำฤดูกาล 7 วัน
,,,,,,,
89001,1.好感度交换需要一定的限定条件\n     条件①：双方精灵的初始形态拥有相同的稀有度\n     条件②：双方培养好感度所消耗的材料是一致的,1.好感度交換需要一定的限定條件\n     條件①：雙方精靈的初始形態擁有相同的稀有度\n     條件②：雙方培養好感度所消耗的材料是一致的,1. Friendship swap requirements\n     ①: Same rarity of Pokémon's original forme\n     ②: Same required materials for developing Friendship,,1. 호감도 교환을 위해서는 일정 조건을 달성해야 합니다.\n   조건①: 양측 포켓몬의 초기 형태가 동일한 희귀도일 것\n   조건②: 양측의 호감도 육성에 소모한 재료가 동일할 것,1. Requisitos de troca de amizade\n①: Mesma raridade da forma original do Pokémon\n②: Mesmos materiais necessários para desenvolver a Amizade,1. ข้อกำหนดการแลกมิตรภาพ\n①: ความหายากเท่ากับรูปแบบดั้งเดิมของโปเกมอน②: ต้องใช้วัสดุเดียวกันในการพัฒนามิตรภาพ
89002,2.好感度交换时，只需满足条件的精灵图鉴激活即可，即使背包内没有对应精灵时也可以进行好感度交换,2.好感度交換時，只需滿足條件的精靈圖鑒啟動即可，即使背包內沒有對應精靈時也可以進行好感度交換,2. Friendship can be swapped as long as qualified Pokémon has been activated in the Handbook.,,"""2. 호감도 교환 시 조건에 맞는 포켓몬 도감만 활성화되면 진행할 수 있으며, 가방에 해당 포켓몬이 존재하지 않더라도 호감도 교환을 할 수 있습니다.""",2. A amizade pode ser trocada desde que um Pokémon qualificado tenha sido ativado no Manual.,2. สามารถสลับมิตรภาพได้ตราบเท่าที่โปเกมอนที่มีคุณสมบัติได้รับการเปิดใช้งานในคู่มือ
,,,,,,,
90001,1.每期活动的限定up符石种类会有所变化,1.每期活動的限定up符石種類會有所變化,1. The type of Runes with increased rate varies in each event,,1. 매회 이벤트의 한정 UP 룬스톤 종류는 변경됩니다.,1. O tipo de Runas com taxa aumentada varia em cada evento,1. ประเภทของรูนที่มีอัตราเพิ่มขึ้นจะแตกต่างกันไปในแต่ละกิจกรรม
90002,2.每日有一次免费抽取限定的机会，次日5点重置免费次数,2.每日有一次免費抽取限定的機會，次日5點重置免費次數,2. Players receive a free draw every day. Reset at 5 am the next day.,,"""2. 매일 무료 뽑기 기회가 주어지며, 다음 날 0시에 무료 횟수가 초기화됩니다.""",2. Os jogadores recebem um sorteio gratuito todos os dias. Reinicia às 5 da manhã do dia seguinte.,2. ผู้เล่นสามารถรับสิทธิ์สุ่มจับฉลากฟรีได้ทุกวัน รีเซ็ตเวลา 05.00 น. ของวันถัดไป
90003,3.每日的抽取次数有一定限制，免费抽取次数不包括在内,3.每日的抽取次數有一定限制，免費抽取次數不包括在內,3. Daily drawing chances are limited but free draws are not included,,"""3. 매일 뽑기 횟수는 제한이 있으며, 무료 뽑기 횟수는 포함되지 않습니다.""","3. As chances de sorteio diário são limitadas, mas os sorteios gratuitos não estão incluídos",3. โอกาสในการจับฉลากรายวันมีจำกัด แต่การจับฉลากฟรีไม่ได้รวมอยู่ด้วย
,,,,,,,
91001,1.每期限定符石活动的符石置换次数会有一定限制，超出限制次数后本期活动时间内无法继续置换,1.每期限定詞石活動的符石置換次數會有一定限制，超出限制次數後本期活動時間內無法繼續置換,1. Swappable Runes for each Exclusive Rune Event are limited.,,"""1. 매일 한정 룬스톤 이벤트의 룬스톤 교환 횟수는 제한이 존재하며, 제한을 초과할 경우 이번 이벤트에서는 더는 교환할 수 없습니다.""",1. As Runas trocáveis para cada Evento de Runa Exclusiva são limitadas.,1. รูนที่สามารถสลับเปลี่ยนได้สำหรับแต่ละกิจกรรมรูนพิเศษนั้นมีจำกัด
91002,2.符石置换仅限紫色及紫色以上、且相同品质的符石,2.符石置換僅限紫色及紫色以上、且相同品質的符石,2. Only purple or above Runes with the same quality can be swapped.,,"""2. 룬스톤 교환은 보라색 이상만 가능하며, 동일한 등급의 룬스톤이어야 합니다.""",2. Somente Runas roxas ou superiores com a mesma qualidade podem ser trocadas.,2. สามารถสลับได้เฉพาะรูนสีม่วงขึ้นไปที่มีคุณภาพเดียวกันเท่านั้น
91003,3.符石置换至少需要2个或3个同品质符石；#C0xF76B45##L10#消耗2个同品质符石只能置换获得1个新的同品质符石，消耗3个同品质符石可以置换2个新的同品质符石,3.符石置換至少需要2個或3個同品質符石；#C0xF76B45##L10#消耗2個同品質符石只能置換獲得1個新的同品質符石，消耗3個同品質符石可以置換2個新的同品質符石,"3. Rune Swap requires 2 or 3 runes with the same quality; #C0xF76B45##L10#Consume 2 runes can swap to get 1 new rune, consume 3 runes can swap to get 2 new runes.",,"""3. 룬스톤 교환 시 최소 2개 또는 3개의 동일 등급 룬스톤이 필요하며, #C0xF76B45##L10#2개의 동일 등급 룬스톤을 소모하면 1개의 동일 등급 룬스톤을 획득합니다. 3개의 동일 등급 룬스톤을 소모하면 2개의 동일 등급 룬스톤을 획득합니다.""","3. A troca de runas requer 2 ou 3 runas com a mesma qualidade; #C0xF76B45##L10#Consuma 2 runas que podem ser trocadas para obter 1 nova runa, consuma 3 runas que podem ser trocadas para obter 2 novas runas.",3. การสลับรูนต้องใช้รูนที่มีคุณภาพเท่ากัน 2 หรือ 3 อัน #C0xF76B45##L10#ใช้รูน 2 อันสามารถสลับเพื่อรับรูนใหม่ 1 อัน ใช้รูน 3 อันสามารถสลับเพื่อรับรูนใหม่ 2 อัน
91004,4.符石置换的方式有3种：,4.符石置換的方式有3種：,4. There are 3 ways to swap runes:,,4. 룬스톤 교환 방법은 3가지가 있습니다.,4. Existem 3 maneiras de trocar runas:,4. มี 3 วิธีในการสลับรูน:
91005,①[限定类型]和[限定编号]默认都不勾选时，同品质之间等权值随机置换,①[限定類型]和[限定編號]默認都不勾選時，同品質之間等權值隨機置換,①Untick [Exclusive Type] and [Exclusive Code] and swap randomly among runes with the same quality.,,①[한정 유형]과 [한정 번호]를 모두 체크하지 않은 경우 동일 등급의 동일 가중치에서 랜덤 교환,①Desmarque [Tipo Exclusivo] e [Código Exclusivo] e troque aleatoriamente entre runas com a mesma qualidade.,①ยกเลิกการเลือก [ประเภทพิเศษ] และ [รหัสพิเศษ] และสลับรูนแบบสุ่มที่มีคุณภาพเดียวกัน
91006,②[限定类型]勾选时，仅限相同品质和相同种类之间等权值随机置换,②[限定類型]勾選時，僅限相同品質和相同種類之間等權值隨機置換,②Tick [Exclusive Type] and swap randomly among runes with the same quality and type.,,②[한정 유형] 체크 시 동일 등급과 동일 종류의 동일 가중치에서 랜덤 교환,②Marque [Tipo Exclusivo] e troque aleatoriamente entre runas com a mesma qualidade e tipo.,② ทำเครื่องหมายที่ [ประเภทพิเศษ] และสลับรูนแบบสุ่มที่มีคุณภาพและประเภทเดียวกัน
