变量名,randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,attrsDesc_pt,attrsDesc_th,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
205,30005,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<45;68;90;113;136;159;182;205>,0,<>
206,30005,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<45;68;90;113;136;159;182;205>,0,<>
207,30005,200,0,反弹,反彈,Reflect,Phản Đòn,반사,Refletir,สะท้อน,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,27,<45;68;90;113;136;159;182;205>,0,<>
208,30005,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<45;68;90;113;136;159;182;205>,0,<>
209,30005,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<45;68;90;113;136;159;182;205>,0,<>
210,30005,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<45;68;90;113;136;159;182;205>,0,<>
211,30005,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<45;68;90;113;136;159;182;205>,0,<>
221,30006,200,0,怒气回复速度,怒氣回復速度,Anger recovery speed,Tốc Độ Hồi Nộ Khí,분노 회복 속도,Velocidade de recuperação da raiva,ความเร็วในการฟื้นตัวจากความโกรธ,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,5,<45;68;90;113;136;159;182;205>,0,<>
222,30006,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<120;168;216;264;312;360;408;456>,8,<120;168;216;264;312;360;408;456>
223,30006,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;200>;<51;60;200>;<61;70;250>;<71;999999;250>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,8,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>
224,30006,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<45;68;90;113;136;159;182;205>,12,<45;68;90;113;136;159;182;205>
225,30006,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<45;68;90;113;136;159;182;205>,0,<>
226,30006,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<45;68;90;113;136;159;182;205>,0,<>
227,30006,200,0,吸血,吸血,Life steal,Hút Máu,생명력 흡수,Roubo de vida,ขโมยชีวิต,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,26,<45;68;90;113;136;159;182;205>,0,<>
228,30006,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<45;68;90;113;136;159;182;205>,0,<>
229,30006,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<45;68;90;113;136;159;182;205>,0,<>
230,30006,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<45;68;90;113;136;159;182;205>,0,<>
241,40001,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<800;1120;1440;1760;2080;2400;2720;3040>,0,<>
242,40001,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>,0,<>
243,40001,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<112;157;202;246;290;340;390;450>,10,<112;157;202;246;290;340;390;450>
244,40001,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>,10,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>
245,40001,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<60;90;120;150;180;210;240;270>,0,<>
246,40001,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<60;90;120;150;180;210;240;270>,0,<>
247,40001,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<60;90;120;150;180;210;240;270>,0,<>
248,40001,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<60;90;120;150;180;210;240;270>,0,<>
249,40001,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<60;90;120;150;180;210;240;270>,0,<>
250,40001,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<60;90;120;150;180;210;240;270>,0,<>
261,40002,100,0,固定速度,固定速度,Fixed speed,Tốc Độ Cố Định,고정 속도,Velocidade fixa,ความเร็วคงที่,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,13,<8;11;14;18;22;26;30;35>,0,<>
262,40002,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<160;224;288;352;432;520;620;720>,8,<160;224;288;352;432;520;620;720>
263,40002,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>,8,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>
264,40002,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;100>;<11;20;150>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<60;90;120;150;180;210;240;270>,12,<60;90;120;150;180;210;240;270>
265,40002,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<60;90;120;150;180;210;240;270>,0,<>
266,40002,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<60;90;120;150;180;210;240;270>,0,<>
267,40002,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<60;90;120;150;180;210;240;270>,0,<>
268,40002,200,0,控制率,控制率,Control rate,Tỷ Lệ Khống Chế,제어율,Taxa de controle,อัตราการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,90,<60;90;120;150;180;210;240;270>,0,<>
269,40002,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<60;90;120;150;180;210;240;270>,0,<>
270,40002,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<60;90;120;150;180;210;240;270>,0,<>
281,40003,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<800;1120;1440;1760;2080;2400;2720;3040>,0,<>
282,40003,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>,0,<>
283,40003,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<112;157;202;246;290;340;390;450>,10,<112;157;202;246;290;340;390;450>
284,40003,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>,10,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>
285,40003,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<60;90;120;150;180;210;240;270>,0,<>
286,40003,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<60;90;120;150;180;210;240;270>,0,<>
287,40003,200,0,反弹,反彈,Reflect,Phản Đòn,반사,Refletir,สะท้อน,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,27,<60;90;120;150;180;210;240;270>,0,<>
288,40003,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<60;90;120;150;180;210;240;270>,0,<>
289,40003,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<60;90;120;150;180;210;240;270>,0,<>
290,40003,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<60;90;120;150;180;210;240;270>,0,<>
291,40003,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<60;90;120;150;180;210;240;270>,0,<>
301,40004,200,0,固定速度,固定速度,Fixed speed,Tốc Độ Cố Định,고정 속도,Velocidade fixa,ความเร็วคงที่,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,13,<8;11;14;18;22;26;30;35>,0,<>
302,40004,200,0,怒气回复速度,怒氣回復速度,Anger recovery speed,Tốc Độ Hồi Nộ Khí,분노 회복 속도,Velocidade de recuperação da raiva,ความเร็วในการฟื้นตัวจากความโกรธ,<<0;10;100>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,5,<60;90;120;150;180;210;240;270>,0,<>
303,40004,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<160;224;288;352;432;520;620;720>,8,<160;224;288;352;432;520;620;720>
304,40004,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>,8,<2%;2.6%;3.2%;3.8%;4.4%;5%;5.6%;6.2%>
305,40004,200,0,百分比双防忽视,百分比雙防忽視,Percentage P. & Sp. DEF Ignorance,% Xuyên Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어 무시,Porcentagem P. & Sp. DEF Ignorância,เปอร์เซ็นต์ P. & Sp. DEF ความไม่รู้,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<60;90;120;150;180;210;240;270>,12,<60;90;120;150;180;210;240;270>
306,40004,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<60;90;120;150;180;210;240;270>,0,<>
307,40004,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<60;90;120;150;180;210;240;270>,0,<>
