变量名,key,text,text_tw,text_en,text_vn,text_kr,text_pt,text_th
7027,characterChangeSuccess,Nature changed successfully!,性格改變成功,Nature changed successfully!,Thay đổi tính cách thành công,성격 변경 성공,A natureza mudou com sucesso!,ธรรมชาติเปลี่ยนแปลงสำเร็จแล้ว!
7028,characterSame,There will be no changes to its nature!,性格將不會發生變化,There will be no changes to its nature!,Tính cách sẽ không thay đổi.,성격이 변화하지 않습니다.,Não haverá mudanças em sua natureza!,ธรรมชาติของมันจะไม่มีการเปลี่ยนแปลงใดๆเลย!
7029,chooseSprOrItem,Please select Pokémon or Nature Item,選擇精靈或者性格道具,Please select Pokémon or Nature Item,Chọn một Pokémon hoặc một vật phẩm thuộc tính,포켓몬 또는 성격 아이템을 선택하세요.,Selecione Pokémon ou Item da Natureza,กรุณาเลือกโปเกมอนหรือไอเทมธรรมชาติ
7030,haveNotLogin,Not logged in,未登入,Not logged in,Chưa đăng nhập,미로그인,Não logado,ไม่ได้เข้าสู่ระบบ
7031,accumulatedAward,Claimable when the total value reaches %d,累積值到達%d時，可領取,Claimable when the total value reaches %d,Có thể nhận khi giá trị tích lũy đạt %d.,누적 수치 %d 도달 시 수령 가능,Reivindicável quando o valor total atingir %s,เรียกร้องได้เมื่อมูลค่ารวมถึง %s
7032,itemStackReachMax,Your item has reached the maximum and unable to %s!,物品已達上限，無法%s!,Your item has reached the maximum and unable to %s!,"Túi đồ đã đầy, không thể %s!",아이템이 이미 한도에 도달해 %s 불가,Seu item atingiu o máximo e não pode ser %s!,ไอเทมของคุณถึงค่าสูงสุดแล้วและไม่สามารถ %s ได้!
7033,welfare,Rewards,福利,Rewards,Lợi ích,혜택,Recompensas,รางวัล
7034,needTargetAchievementPoint,"""If you reach %s, you can claim:""",成就點達到%s點，可以領取:,"""If you reach %s, you can claim:""","Điểm thành tích đạt %s, có thể nhận:",업적 점수 %s 도달 시 수령 가능:,"Se você atingir %s, você pode reivindicar:",หากคุณเข้าถึง %s คุณสามารถรับสิทธิ์ได้:
7035,experience,EXP,經驗,EXP,Kinh nghiệm,경험치,EXP,ประสบการณ์
7036,drawing,Blueprint,圖紙,Blueprint,Bản vẽ,설계도,Projeto,พิมพ์เขียว
7037,energyItems,Energy Core,能量核心,Energy Core,Lõi năng lượng,에너지 코어,Núcleo de Energia,แกนพลังงาน
7038,canRetrieve,Recoverable,可找回,Recoverable,Có thể tìm lại,회수 가능,Recuperável,สามารถกู้คืนได้
7039,canAlsoRetrieve,It is still recoverable,還可找回,It is still recoverable,Có thể tìm lại được,회수 가능,Ainda é recuperável,ยังสามารถกู้คืนได้
7040,haveRetrieved,Recovered,已找回,Recovered,Đã tìm lại được,회수 완료,Recuperado,กู้คืนแล้ว
7041,luckyEggTitle,Gashapon Machine,扭蛋機,Gashapon Machine,Máy bán đồ chơi tự động,뽑기 기계,Máquina Gashapon,เครื่องทำกาชาปอง
7042,rechargeWheelTip,"""#C0xF7A57C##F30##L10#For every#C0xFFF8E0##F40##L10#%d#Icommon/icon/icon_diamond.png-41-37##C0xF7A57C##F30##L10#spent, you get#C0xFFFF7F##F40##L10#%d#C0xF7A57C##F30##L10#points. The points are only valid for the current event.""",#C0xF7A57C##F30##L10#每儲值#C0xFFF8E0##F40##L10#%d#Icommon/icon/icon_diamond.png-41-37##C0xF7A57C##F30##L10#獲得#C0xFFFF7F##F40##L10#%d#C0xF7A57C##F30##L10#積分 積分只對本期活動有效,"""#C0xF7A57C##F30##L10#For every#C0xFFF8E0##F40##L10#%d#Icommon/icon/icon_diamond.png-41-37##C0xF7A57C##F30##L10#spent, you get#C0xFFFF7F##F40##L10#%d#C0xF7A57C##F30##L10#points. The points are only valid for the current event.""",Mỗi lần nạp #C0xFFF8E0##F40##L10#%d#Icommon/icon/icon_diamond.png-41-37#C0xF7A57C##F30##L10#bạn sẽ nhận được#C0xFFFF7F##F40##L10#%d#C0xF7A57C##F30##L10#điểm. Điểm chỉ có hiệu lực trong sự kiện này.,"""#C0xF7A57C##F30##L10##C0xFFF8E0##F40##L10#%d#Icommon/icon/icon_diamond.png-41-37##C0xF7A57C##F30##L10# 충전 시마다 #C0xFFFF7F##F40##L10#%d#C0xF7A57C##F30##L10#포인트 획득, 포인트는 이번 이벤트에서만 유효합니다.""","#C0xF7A57C##F30##L10#Para cada#C0xFFF8E0##F40##L10#%s#Icommon/icon/icon_diamond.png-41-37##C0xF7A57C##F30##L10#gasto, você ganha#C0xFFFF7F##F40##L10#%s#C0xF7A57C##F30##L10#pontos. Os pontos são válidos apenas para o evento atual.",#C0xF7A57C##F30##L10#สำหรับทุก #C0xFFF8E0##F40##L10#%s#Icommon/icon/icon_diamond.png-41-37##C0xF7A57C##F30##L10# ที่ใช้ไป คุณจะได้รับ #C0xFFFF7F##F40##L10#%s#C0xF7A57C##F30##L10# คะแนนเหล่านี้ใช้ได้เฉพาะในงานกิจกรรมปัจจุบันเท่านั้น
7043,freeDraw,Free draw,免費抽取,Free draw,Rút thăm miễn phí,무료 뽑기,Sorteio livre,วาดฟรี
7044,onceDraw,Single draw,單次抽取,Single draw,Triệu hồi đơn,1회 뽑기,Sorteio único,ดึงเดี่ยว
7045,awakeLevel,%s,覺醒%s,%s,Tỉnh thức %s,%s 각성,Despertando %s,การตื่นขึ้น %s
7046,luckyEggTip,"""Insufficient Gashapon points currently, unable to buy""",當前扭蛋積分不足，無法購買,"""Insufficient Gashapon points currently, unable to buy""",Số điểm gacha hiện tại không đủ để mua.,현재 뽑기 포인트가 부족해 구매할 수 없습니다.,"Pontos Gashapon insuficientes no momento, não é possível comprar",“ขณะนี้แต้มกาชาปองไม่เพียงพอ ไม่สามารถซื้อได้”
7047,explorerDraw,Explorer Device Treasure Hunt,探險器尋寶,Explorer Device Treasure Hunt,Cuộc săn kho báu của nhà thám hiểm,탐지기 보물찾기,Caça ao tesouro do dispositivo Explorer,เกมล่าสมบัติอุปกรณ์สำรวจ
7048,rechargeWheelReport,#C0xD97B4C##L10#%s#C0xC78D50##L10# gets #C0xCC7A52##L10#%s x%d,#C0xD97B4C##L10#%s#C0xC78D50##L10#獲得#C0xCC7A52##L10#%s x%d,#C0xD97B4C##L10#%s#C0xC78D50##L10# gets #C0xCC7A52##L10#%s x%d,Nhận được #C0xCC7A52##L10#%s x%d Mảnh ghép,#C0xD97B4C##L10#%s#C0xC78D50##L10# 님이 #C0xCC7A52##L10#%s x%d 획득,#C0xD97B4C##L10#%s#C0xC78D50##L10# obtém #C0xCC7A52##L10#%sx%s,#C0xD97B4C##L10#%s#C0xC78D50##L10# ได้รับ #C0xCC7A52##L10#%sx%s
7049,pleasePassGateNormal,Please unlock the Chapter %s of the level first,請先解鎖解鎖關卡第%s章,Please unlock the Chapter %s of the level first,Vui lòng mở khóa chương %s trước.,먼저 스테이지 챕터%s 개방 필요,"Por favor, desbloqueie o Capítulo %s do nível primeiro",กรุณาปลดล็อคบทที่ %s ของระดับก่อน
7050,pleasePassGateDifficult,Please unlock the Chapter %s of the Hard level first,請先解鎖困難關卡第%s章,Please unlock the Chapter %s of the Hard level first,Vui lòng mở khóa chương %s của cấp độ khó trước.,먼저 하드 스테이지 챕터%s 개방 필요,"Por favor, desbloqueie o Capítulo %s do nível Difícil primeiro",กรุณาปลดล็อคบทที่ %s ของระดับ Hard ก่อน
7051,pleasePassGateNightMare,Please unlock the Chapter %s of the Challenging level first,請先解鎖噩夢關卡第%s章,Please unlock the Chapter %s of the Challenging level first,Vui lòng mở khóa Chương %s của cấp độ Ác mộng trước.,먼저 악몽 스테이지 챕터%s 개방 필요,"Por favor, desbloqueie o Capítulo %s do nível desafiador primeiro",กรุณาปลดล็อคบทที่ %s ของระดับท้าทายก่อน
7052,pleasePassGate,Please clear %s level %s first,請先通關%s關卡%s,Please clear %s level %s first,Vui lòng vượt qua màn %s-%s trước.,먼저 %s 스테이지%s 클리어 필요,"Por favor, limpe %s nível %s primeiro",กรุณาเคลียร์ระดับ %s ก่อน
7053,festival,Happy Lunar New Year,新年大吉,Happy Lunar New Year,Chúc mừng năm mới,새해 대길,Feliz Ano Novo Lunar,สุขสันต์วันตรุษจีน
7054,goRecharge,Purchase now,去儲值,Purchase now,Nạp tiền,충전하기,Compre agora,สั่งซื้อเลยตอนนี้
7055,luckyEggRuleTitle,Rules of Gashapon Machine,扭蛋機規則,Rules of Gashapon Machine,Luật quay gacha,뽑기 기계 규칙,Regras da Máquina Gashapon,กติกาของกาชาปอง
7056,robcomplete,All claimed,已領完,All claimed,Đã nhận,수령완료,Todos reivindicados,อ้างสิทธิ์ทั้งหมด
7057,clickinfo,Tap to check information for claiming,點擊檢視領取詳情,Tap to check information for claiming,Nhấp để xem chi tiết,터치해 상세 수령 확인,Toque para verificar informações para reivindicar,แตะเพื่อตรวจสอบข้อมูลการขอรับสิทธิ์
7058,nvalueTip1,"""#C0x5B545B#After refining %s times, the lowest single IV is #F50##C0x74BE6D#%s""",#C0x5B545B#洗練%s次後，單項個體值最低為#F50##C0x74BE6D#%s,"""#C0x5B545B#After refining %s times, the lowest single IV is #F50##C0x74BE6D#%s""","#C0x5B545B#Sau khi tinh luyện %s lần, chỉ số cá thể tối thiểu cho một chỉ số đơn lẻ là #F50##C0x74BE6D#%s",#C0x5B545B#제련%s회 후 단일  최저 개체값:#F50##C0x74BE6D#%s.,"#C0x5B545B#Após refinar %s vezes, o menor IV único é #F50##C0x74BE6D#%s",#C0x5B545B#หลังจากปรับแต่ง %s ครั้ง IV เดี่ยวที่ต่ำที่สุดคือ #F50##C0x74BE6D#%s
7059,nvalueTip2,"""#C0x5B545B#After single refinement, the lowest single IV is #F50##C0x74BE6D#%s""",#C0x5B545B#當前洗練單項個體值最低為#F50##C0x74BE6D#%s,"""#C0x5B545B#After single refinement, the lowest single IV is #F50##C0x74BE6D#%s""",#C0x5B545B#Giá trị cá thể tối thiểu hiện tại cho một chỉ số đơn lẻ là #F50##C0x74BE6D#%s,#C0x5B545B#현재 단일 제련 최저 개체값 #F50##C0x74BE6D#%s,"#C0x5B545B#Após o refinamento único, o menor IV único é #F50##C0x74BE6D#%s",#C0x5B545B# หลังจากการปรับแต่งครั้งเดียว IV ครั้งเดียวที่ต่ำที่สุดคือ #F50##C0x74BE6D#%s
7060,canBuyInBoutique,Can be obtained at the Recommended Shop,可以在精選商店購買獲取,Can be obtained at the Recommended Shop,Có thể mua được tại cửa hàng nổi bật,특선 상점에서 구매해 획득 가능,Pode ser obtido na Loja Recomendada,หาซื้อได้ที่ร้านค้าแนะนำ
7061,getInActOrMysteryShop,Available at events or Mystery Shop,活動或者神秘商店中可獲取,Available at events or Mystery Shop,Có sẵn trong sự kiện hoặc cửa hàng Bí ẩn.,이벤트 또는 신비한 상점에서 획득 가능,Disponível em eventos ou Mystery Shop,มีจำหน่ายที่งานอีเว้นท์หรือร้าน Mystery Shop
7062,nonunion,Must in a union,未加入公會,Must in a union,Chưa tham gia bang hội,길드에 가입하지 않았습니다.,Deve em uma união,ต้องอยู่ในสหภาพ
7063,effortAdvanceAttrTip,#L10# stage %s: #L0#Total Pokémon base stats +%s,#L10#階段 %s: #L0#精靈基礎屬性累計 +%s,#L10# stage %s: #L0#Total Pokémon base stats +%s,Lv. %s: Tăng chỉ số cơ bản cho Pokémon +%s,#L10#계단 %s: #L0#포켓몬 기초 속성 누적 +%s,#L10# estágio %s: #L0#Total de estatísticas básicas de Pokémon +%s,#L10# ระยะ %s: #L0# สถิติพื้นฐานของโปเกมอนทั้งหมด +%s
7064,effortCurrentAdvance,#C0xf13b54# (Current Stage),#C0xf13b54# （當前階段）,#C0xf13b54# (Current Stage),#C0xf13b54# (Giai đoạn hiện tại),#C0xf13b54#(현재 단계),#C0xf13b54# (Estágio atual),#C0xf13b54# (ระยะปัจจุบัน)
7065,effortAdvanceActiveTip,#C0x5b545b##L10#Activate attribution: #L0#Total of all basic stats #C0x74BE6D#+%s,#C0x5b545b##L10#啟動屬性: #L0#所有基礎屬性累計 #C0x74BE6D#+%s,#C0x5b545b##L10#Activate attribution: #L0#Total of all basic stats #C0x74BE6D#+%s,#C0x5b545b##L10#Kích hoạt thuộc tính: #L0#Tổng cộng chỉ số cơ bản #C0x74BE6D#+%s,#C0x5b545b##L10#속성 활성화: #L0#모든 기초 속성 누적 #C0x74BE6D#+%s,#C0x5b545b##L10#Ativar atribuição: #L0#Total de todas as estatísticas básicas #C0x74BE6D#+%s,#C0x5b545b##L10#เปิดใช้งานการระบุ: #L0#รวมสถิติพื้นฐานทั้งหมด #C0x74BE6D#+%s
7066,effortAdvance,Stage,階段,Stage,Giai đoạn,단계,Estágio,เวที
7067,needSpriteLevelArrival,Requires Pokémon level %s,需要精靈等級到達%s,Requires Pokémon level %s,Pokémon cần đạt cấp độ %s,포켓몬 %s레벨 달성 필요,Requer Pokémon nível %s,ต้องมีเลเวลโปเกมอน %s
7068,descriptionCultureAddition,About Training Bonus,培養加成說明,About Training Bonus,Giải thích về tăng cường sức mạnh,육성 보너스 설명,Sobre o bônus de treinamento,เกี่ยวกับโบนัสการฝึกอบรม
7069,currentVersionNotOpen,"""This Pokémon is coming soon, stay tuned!""",此精靈即將到來，請期待喲！,"""This Pokémon is coming soon, stay tuned!""","Pokémon này sắp ra mắt, hãy chờ đón nhé!",해당 포켓몬은 준비 중입니다!,"Este Pokémon chegará em breve, fique ligado!",โปเกมอนตัวนี้กำลังจะมาเร็วๆ นี้ โปรดคอยติดตามเอาไว้!
7070,noConditionNoGrade,You've not met the requirements to level up,條件不足，無法升級,You've not met the requirements to level up,"Điều kiện không đủ, không thể nâng cấp.",조건이 부족해 레벨업할 수 없습니다.,Você não atendeu aos requisitos para subir de nível,คุณไม่ได้ปฏิบัติตามข้อกำหนดในการเลื่อนระดับ
7071,teamHaloTitle,"When there are different numbers of Pokémons of the same types within the team, the corresponding team aura can be activated ",隊伍中存在不同數量同屬性系精靈時，可啟動相應的隊伍光環,"When there are different numbers of Pokémons of the same types within the team, the corresponding team aura can be activated ","Khi đội ngũ có Pokémon cùng hệ thuộc tính khác số lượng, có thể kích hoạt Aura đội ngũ tương ứng","""팀 내에 동일 타입과 계열의 포켓몬이 여러 마리 존재 시,해당하는 팀 오라가 활성화 가능""","Quando há um número diferente de Pokémon do mesmo tipo dentro da equipe, a aura da equipe correspondente pode ser ativada",เมื่อมีจำนวนโปเกมอนประเภทเดียวกันในทีมต่างกัน ออร่าทีมที่เกี่ยวข้องก็จะเปิดใช้งานได้
7072,higherStarContinueDecomposition,"These Pokémons are relatively high in star level, are you sure you want to decompose them?",精靈星級較高，是否繼續選擇分解？,"These Pokémons are relatively high in star level, are you sure you want to decompose them?","Cấp sao Pokémon khá cao, tiếp tục phân giải?",포켓몬 성급이 높습니다. 정말 분해하겠습니까?,Esses Pokémon têm um nível de estrela relativamente alto. Tem certeza de que deseja decompô-los?,โปเกมอนเหล่านี้มีระดับดาวค่อนข้างสูง คุณแน่ใจหรือว่าต้องการย่อยสลายพวกมัน?
7073,hasRarityAndStarCard,You've selected a Pokémon with higher rarity and star level. Are you sure you want to decompose it?,已選擇稀有度和星級較高的精靈，是否繼續分解？,You've selected a Pokémon with higher rarity and star level. Are you sure you want to decompose it?,"Pokémon có độ hiếm và cấp sao khá cao, xác nhận phân giải?",희귀도와 성급이 높은 포켓몬을 선택했습니다. 정말 분해하겠습니까?,Você selecionou um Pokémon com maior raridade e nível de estrela. Tem certeza de que deseja decompô-lo?,คุณได้เลือกโปเกมอนที่มีความหายากและระดับดาวที่สูงกว่า คุณแน่ใจว่าต้องการย่อยสลายมันหรือไม่
7074,chooseNatureTypeSuccess,The effective stats within the team aura have been successfully switched!,隊伍光環內生效屬性已切換成功,The effective stats within the team aura have been successfully switched!,Thuộc tính hiệu lực trong hào quang đội đã được chuyển đổi thành công.,팀 오라의 유효 타입이 전환되었습니다.,As estatísticas efetivas dentro da aura da equipe foram alteradas com sucesso!,ค่าสถิติที่มีผลภายในออร่าทีมได้ถูกสลับเรียบร้อยแล้ว!
7075,trainerPrivilege27,Explorer Device Treasure Hunt at half price the first time each day,探險器尋寶每日首次半價,Explorer Device Treasure Hunt at half price the first time each day,Explorer Device Tầm Bảo lần đầu mỗi ngày hưởng nửa giá,탐지기 보물찾기 매일 첫 반값,Explorer Device Treasure Hunt pela metade do preço na primeira vez de cada dia,Explorer Device Treasure Hunt ลดราคาครึ่งหนึ่งในครั้งแรกของแต่ละวัน
7076,endlessTowerResetCost,#C0x5b545b#Do you want to spend %s#Icommon/icon/icon_diamond.png-56-56##C0x5b545b# to reset the level?,#C0x5b545b#是否消耗%s#Icommon/icon/icon_diamond.png-56-56#，#C0x5b545b#進行重置關卡,#C0x5b545b#Do you want to spend %s#Icommon/icon/icon_diamond.png-56-56##C0x5b545b# to reset the level?,"#C0x5b545b#Xác nhận dùng %s#Icommon/icon/icon_diamond.png-56-56#, #C0x5b545b# Reset Ải?",#C0x5b545b#%s#Icommon/icon/icon_diamond.png-56-56#를 소모해 #C0x5b545b#스테이지 초기화를 진행하겠습니까?,#C0x5b545b#Você quer gastar %s#Icommon/icon/icon_diamond.png-56-56##C0x5b545b# para reiniciar o nível?,#C0x5b545b#คุณต้องการใช้ %s#Icommon/icon/icon_diamond.png-56-56##C0x5b545b# เพื่อรีเซ็ตระดับหรือไม่?
7077,chooseNatureText,#C0x5b545b#This Pokémon's type will switch from #I%s-60-60##C0x5b545b# to #I%s-60-60##C0x5b545b# as the team aura has taken effect. After switching it will be effective in all formation interface. Do you want to continue?,#C0x5b545b#該精靈在隊伍光環內生效屬性即將由#I%s-60-60##C0x5b545b#切換為#I%s-60-60##C0x5b545b#，切換後所有編隊介面內生效，是否繼續？,#C0x5b545b#This Pokémon's type will switch from #I%s-60-60##C0x5b545b# to #I%s-60-60##C0x5b545b# as the team aura has taken effect. After switching it will be effective in all formation interface. Do you want to continue?,"#C0x5b545b# Thuộc tính hiệu lực trong Aura đội ngũ của Pokémon này từ #I%s-60-60##C0x5b545b# chuyển thành #I%s-60-60##C0x5b545b#, sau khi chuyển đổi sẽ hiệu lực trong tất cả giao diện lập đội, tiếp tục không?",#C0x5b545b#해당 포켓몬의 팀 오라 유효 타입 #I%s-60-60##C0x5b545b#→#I%s-60-60##C0x5b545b# 전환이 이루어집니다. 전환 후에는 모든 진형 대상에게 적용됩니다. 계속하겠습니까?,"#C0x5b545b#O tipo deste Pokémon mudará de #I%s-60-60##C0x5b545b# para #I%s-60-60##C0x5b545b# conforme a aura da equipe tiver efeito. Após a troca, ela será efetiva em todas as interfaces de formação. Você quer continuar?",#C0x5b545b#ประเภทของโปเกมอนตัวนี้จะเปลี่ยนจาก #I%s-60-60##C0x5b545b# เป็น #I%s-60-60##C0x5b545b# เนื่องจากออร่าของทีมมีผล หลังจากเปลี่ยนแล้ว จะมีผลกับอินเทอร์เฟซการจัดรูปแบบทั้งหมด คุณต้องการดำเนินการต่อหรือไม่
7078,notReach,Unavailable,未達成,Unavailable,Chưa hoàn thành,미달성,Indisponível,ไม่สามารถใช้งานได้
7079,getCountDown,Reward in,領取倒計時,Reward in,Đếm Ngược Nhận,수령 남은 시간,Recompensa em,รางวัลใน
7080,sellCountDown,Sales in,售賣倒計時,Sales in,Đếm Ngược Bán,판매 남은 시간:,Vendas em,การขายใน
7081,attrDoubleAttack,ATK,雙攻,ATK,Song Công,공격,ATAQUE,การโจมตี
7082,craftMessageGotScroe,#L10##C0x5B545B# gets #C0xF76B45##L10#%s#C0x5B545B##L10# points,#L10##C0x5B545B#獲得#C0xF76B45##L10#%s#C0x5B545B##L10#積分,#L10##C0x5B545B# gets #C0xF76B45##L10#%s#C0x5B545B##L10# points,Nhận được #C0xF76B45#%s#C0x5B545B# điểm,#L10##C0x5B545B##C0xF76B45##L10#%s#C0x5B545B##L10#포인트 획득,#L10##C0x5B545B# ganha #C0xF76B45##L10#%s#C0x5B545B##L10# pontos,#L10##C0x5B545B# ได้รับคะแนน #C0xF76B45##L10#%s#C0x5B545B##L10#
7083,specialGiftBag,Sale,特惠禮包,Sale,Quà Ưu Đãi,특별 혜택 패키지,Oferta,ขาย
7084,nvalueText,Refreshment instructions,洗練說明,Refreshment instructions,Hướng Dẫn Tẩy Luyện,제련 설명,Instruções de refresco,คำแนะนำการรับประทานอาหารว่าง
7085,totalGot,You get in total,總計獲得,You get in total,Tổng cộng nhận được,누적 획득,Você ganha no total,คุณจะได้รับทั้งหมด
7086,unionFightRound,Match %s,第%s場,Match %s,Trận %s,%s라운드,Corresponder %s,แมทช์ %s
7087,unionFightTeam,%s team,%s隊,%s team,Đội %s,%s팀,%sapor,%sอน้ำ
7088,unionFightHpText,(HP %s),(剩餘 HP%s),(HP %s),(HP còn %s),(남은 HP %s),(HP %s),(แรงม้า %s)
7089,unionFightDead,(Defeat),(戰敗),(Defeat),(Chiến Bại),(패배),(Derrota),(ความพ่ายแพ้)
7090,unionFightTimeText,Starts after %s,%s後開始,Starts after %s,%s sau bắt đầu,%s 후 시작,Começa depois de %s,เริ่มหลังจาก %s
7091,unionFightBattleWinTip,"Match %s has ended, you've successfully entered the next match",第%s場結束，成功晉級下一場,"Match %s has ended, you've successfully entered the next match","Trận %s kết thúc, tăng cấp thành công trận tiếp theo","""%s라운드 종료, 다음 라운드 진출 성공""","A partida %s terminou, você entrou com sucesso na próxima partida",การแข่งขัน %s สิ้นสุดลงแล้ว คุณได้เข้าสู่การแข่งขันครั้งต่อไปเรียบร้อยแล้ว
7092,unionFightBattleLoseTip,All our teams have been defeated.,比賽結束，公會所有隊伍已被全部擊敗，無緣進入下一輪,All our teams have been defeated.,"Kết thúc thi đấu, tất cả đội ngũ Guild đã bị đánh bại, không có cơ hội vào vòng tiếp theo","""경기 종료, 길드의 모든 팀이 패배해 다음 라운드에 진출하지 못했습니다.""",Todos os nossos times foram derrotados.,ทีมของพวกเราพ่ายแพ้หมดแล้ว
7093,randomText,Random,隨機排序,Random,Thứ tự ngẫu nhiên,랜덤 순서,Aleatório,สุ่ม
7094,fightPointUp,C.P. ↑,戰力昇冪,C.P. ↑,POWER tăng dần,전투력 오름차순,PC ↑,ซีพี ↑
7095,fightPointDown,C.P. ↓,戰力降冪,C.P. ↓,POWER giảm dần,전투력 내림차순,PC ↓,ซีพี ↓
7096,fragDonateTime,On %d/%s %02d:%02d,在 %d 月 %s 日 %02d:%02d,On %d/%s %02d:%02d,Vào %d tháng %s ngày %02d:%02d,%d월 %s일 %02d:%02d,Em %s/%s %s2d:%s2d,บน %s/%s %s2d:%s2d
7097,enthusiastsRanGetPoints,When Helpful Points reaches %s you get:,熱心人點數達到 %s 時可獲得:,When Helpful Points reaches %s you get:,Điểm Nhiệt Tình đạt %s để nhận:,도움 점수 %s 도달 시 획득 가능:,Quando os Pontos Úteis atingirem %s você ganha:,เมื่อคะแนนช่วยเหลือถึง %s คุณจะได้รับ:
7098,getEnthusiastsRanAndPoints,"Gifted successfully, you gain %s Helpful Points and",贈送成功，獲得%s熱心人點數和,"Gifted successfully, you gain %s Helpful Points and","Tặng thành công, nhận %s điểm Nhiệt Tình và ","""선물 성공, %s 도움 점수 획득 및""","Dotado com sucesso, você ganha %s Pontos Úteis e",เมื่อส่งสำเร็จ คุณจะได้รับคะแนนช่วยเหลือ %s คะแนนและ
7099,fragDonateTimesNotEnough,"Insufficient no. of times, cannot send as gift!",次數不足，無法贈送,"Insufficient no. of times, cannot send as gift!","Lần không đủ, không thể tặng",횟수가 부족해 선물할 수 없습니다.,"Número de vezes insuficiente, não é possível enviar como presente!",จำนวนครั้งไม่เพียงพอ ไม่สามารถส่งเป็นของขวัญได้!
7100,fragDonateFragNotEnough,"Insufficuent shard, cannot send as gift!",碎片不足無法贈送,"Insufficuent shard, cannot send as gift!","Mảnh không đủ, không thể tặng",조각이 부족해 선물할 수 없습니다.,"Fragmento insuficiente, não é possível enviar como presente!",ชิ้นส่วนไม่เพียงพอ ไม่สามารถส่งเป็นของขวัญได้!
7101,pleaseComeBackTomorrow,"You've made a wish, please come back again tomorrow",您今日已經許願，請明日再來,"You've made a wish, please come back again tomorrow","Hôm nay đã cầu nguyện, vui lòng ngày mai quay lại",오늘은 이미 소원을 빌었습니다. 내일 다시 오세요.,"Você fez um pedido, por favor volte amanhã",คุณได้อธิษฐานแล้ว โปรดกลับมาใหม่พรุ่งนี้
7102,notRecod,No available records!,暫無記錄,No available records!,Không có ghi chép,기록 없음,Nenhum registro disponível!,ไม่มีบันทึกที่มีอยู่!
7103,firstRound,first round,第一輪,first round,Vòng 1,1라운드,primeira rodada,รอบแรก
7104,theSecondRound,Round 2,第二輪,Round 2,Vòng 2,2라운드,Rodada 2,รอบที่ 2
7105,thridRound,Round 3,第三輪,Round 3,Vòng 3,3라운드,Rodada 3,รอบที่ 3
7106,theFourthRoundOf,Round 4,第四輪,Round 4,Vòng 4,4라운드,Rodada 4,รอบที่ 4
7107,BattleLine,The Last Battle,最終戰,The Last Battle,Trận Cuối,최종 결전,A Última Batalha,การต่อสู้ครั้งสุดท้าย
7108,notDevelopFeel,You're unable to increase the Friendship level of the Pokémon!,無法培養該精靈的好感度,You're unable to increase the Friendship level of the Pokémon!,Không thể tăng độ thân thiết của Pokémon này.,해당 포켓몬의 호감도를 육성할 수 없습니다.,Você não consegue aumentar o nível de amizade do Pokémon!,คุณไม่สามารถเพิ่มระดับมิตรภาพของโปเกมอนได้!
7109,allRank,Overall ranking,總排行,Overall ranking,Tổng Xếp Hạng,총 순위,Classificação geral,อันดับโดยรวม
7110,positionSave,Lineup saved!,陣容保存成功,Lineup saved!,Đội hình đã được lưu thành công,라인업 저장 성공,Escalação salva!,บันทึกการจัดทีมแล้ว!
7111,emptyInfo,None,暫無,None,Không có,없음,Nenhum,ไม่มี
7112,shopTab1,Normal,基 礎,Normal,Cơ bản,기 본,Normal,ปกติ
7113,shopTab2,Event,活 動,Event,Sự kiện,이벤트,Evento,เหตุการณ์
7114,shopTab3,Reservation,預 留,Reservation,Đặc biệt,보 류,Reserva,การจอง
7115,unionFightFinalLose,Our last allied team was defeated and the enemy won,我方最後一支隊伍被擊敗，敵方獲勝,Our last allied team was defeated and the enemy won,"1 đội phe ta bị đánh bại, kẻ địch giành chiến thắng",아군의 마지막 팀이 패배해 적이 승리했습니다.,Nosso último time aliado foi derrotado e o inimigo venceu,ทีมพันธมิตรสุดท้ายของเราพ่ายแพ้และศัตรูได้รับชัยชนะ
7116,unionFightFinalWin,"All enemies are defeated, you won",擊敗全部敵人，我方獲勝,"All enemies are defeated, you won","Đánh bại toàn bộ địch, phe ta chiến thắng",모든 적을 쓰러트려 아군이 승리했습니다.,"Todos os inimigos foram derrotados, você venceu",ศัตรูทั้งหมดพ่ายแพ้ คุณชนะ
7117,unionFightOtherBattle,"All members of %s has been defeated, %s emerge victorious!",%s公會所有隊伍被擊敗，%s公會獲得了最終勝利！,"All members of %s has been defeated, %s emerge victorious!","%s tất cả đội Ngũ Guild bị đánh bại, %s Guild giành chiến thắng cuối cùng!",%s 길드의 모든 팀이 패배해 %s 길드가 최종 승리를 거두었습니다!,"Todos os membros de %s foram derrotados, %s emerge vitorioso!",สมาชิกทั้งหมดของ %s พ่ายแพ้แล้ว %s กลับกลายเป็นผู้ชนะ!
7118,unionFightCheckBattleAssign,Formation,檢視對戰佈置,Formation,Xem đội hình chiến đấu,대전 배치 보기,Formação,การก่อตัว
7119,inPrepare,Ready ...,戰備中...,Ready ...,Đang chuẩn bị...,준비 중...,Preparar ...,พร้อม ...
7120,inBattle,In battle...,對戰中...,In battle...,Đang chiến đấu...,대전 중...,Na batalha...,ในการต่อสู้...
