变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,roleName_vn,roleName_pt,roleName_th,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,talkContent_pt,talkContent_th,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,1331,请挑战,133,,city.pvp.arena.view,15,,finish(132),,,,,,,,0.1,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=200;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,那么，开始属于你荣耀的战斗吧！,那麼，開始屬於你榮耀的戰鬥吧！,"So, let's start the battle of honor!","Vậy thì, hãy bắt đầu trận chiến vinh quang của bạn!",그럼 영광을 위한 대결을 시작하세요!,"Então, comece sua batalha gloriosa!",แล้วเริ่มการต่อสู้ที่รุ่งโรจน์ของคุณเถอะ!,,,,,,,,,,,,,,
1332,1332,请挑战,133,,,,,,,,,,,,,0.1,1,2,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=200;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,挑战之前可以点击这里可以查看对手的详细信息，有备无患,挑戰之前可以點擊這裡可以檢視對手的詳細資訊，有備無患,"Tap here before the challenge to check the details of your opponents, just in case.",Nhấn vào đây để xem thông tin chi tiết của đối thủ trước khi bắt đầu thử thách;  cẩn tắc vô áy náy.,도전하기 전 이곳에서 상대의 정보를 확인할 수 있어요.,Clique aqui para ver informações detalhadas do oponente antes do desafio; prevenir é melhor que remediar.,คลิกที่นี่เพื่อดูข้อมูลรายละเอียดของคู่ต่อสู้ก่อนเริ่มการท้าทาย; การเตรียมตัวไว้ก่อนย่อมดีกว่า,,,<list;item11;panel>,,,,,,TRUE,{width=500;height=660;dx=0;dy=70},,,,
1333,1333,请挑战,133,,,,,,,1,,,,,,0.1,1,2,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=200;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,那么，祝你好运了！,那麼，祝你好運了！,Good luck then!,"Vậy thì, chúc bạn may mắn!",그럼 행운을 빌게요!,"Então, boa sorte!",งั้นขอให้โชคดีนะ!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,1351,活动副本开启,135,,city.view,18,,,,,,,,1,,0.1,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,新的功能#C0xE77421#日常副本#C0x5B545B#开启了哦,新的功能#C0xE77421#日常副本#C0x5B545B#開啟了哦,New feature#C0xE77421#Daily Dungeon #C0x5B545B#  is now open!,Tính năng mới #C0xE77421# Phó bản hàng ngày #C0x5B545B# đã mở!,#C0xE77421#일일 던전#C0x5B545B# 기능이 개방됐어 로토.,Novo recurso #C0xE77421# Masmorra Diária #C0x5B545B# agora aberta!,ฟีเจอร์ใหม่ #C0xE77421# ดันเจี้ยนประจำวัน #C0x5B545B# เปิดให้เล่นแล้ว!,,,,,,,,,,,,,,
1352,1352,进入PVE选关,135,,,,,,,,,,,,,0.1,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入冒险的选择界面,點擊這裡進入冒險的選擇介面,Tap here to enter the Adventure selection interface.,Nhấp vào đây để vào giao diện chọn cuộc phiêu lưu.,여길 터치해 모험 선택 메뉴로 들어가 봐 로토.,Clique aqui para entrar na interface de seleção de aventura.,คลิกที่นี่เพื่อเข้าสู่ส่วนเลือกการผจญภัย,,,<rightBottomPanel;btnAdventure>,,effect/shouyindao.skel,180,,,,,,,,
1353,1353,进入活动本,135,,,,,,,1,,,,,,0.4,1,2,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,从这里可以点击进入日常副本,從這裡可以點擊進入日常副本,Tap here to enter the Daily Dungeon.,Nhấp vào đây để vào phụ bản hàng ngày.,일일 던전은 여기로 입장할 수 있어 로토.,Clique aqui para entrar no desafio diário.,คลิกที่นี่เพื่อเข้าดันเจี้ยนประจำวัน,,,<list;activityGate>,,effect/shouyindao.skel,,,,,,,,,
1354,1354,进入金币本,135,,,,,,,,,,,,,0.2,1,2,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点此进入金币副本,點此進入金幣副本,Tap here to enter Coin Dungeon.,Vào phụ bản tiền xu,코인 던전에 입장해 봐 로토.,Entrar na Masmorra de Moedas,เข้าดันเจี้ยนเหรียญ,,,<list;item1>,,effect/shouyindao.skel,,,,,,,,,
1355,1355,说明,135,,,,,,,,,,,,,0.2,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,这里可以挑战怪物获得大量的金币,這裡可以挑戰怪物獲得大量的金幣,You can fight the monsters and lots of coins here.,Ở đây bạn có thể thách đấu quái vật để nhận được một lượng lớn vàng.,도전을 통해 대량의 코인를 획득할 수 있어 로토.,Aqui você pode desafiar monstros para obter uma grande quantidade de ouro.,ที่นี่คุณสามารถท้าทายมอนสเตอร์เพื่อรับทองคำจำนวนมาก,,,,,,,,,,,,,,
1356,1356,说明,135,,,,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,对敌人造成的伤害越高，获得的奖励也就越多,對敵人造成的傷害越高，獲得的獎勵也就越多,"The higher the damage dealt to the enemy, the more rewards you get.","Sát thương gây ra cho kẻ địch càng cao, phần thưởng nhận được càng nhiều.",적에게 입히는 피해가 클수록 획득하는 보상이 증가할 거야 로토.,"Quanto mais dano você infligir no inimigo, maior será a recompensa.",ความเสียหายที่สร้างให้กับศัตรูยิ่งมากเท่าไหร่ รางวัลที่ได้รับก็จะยิ่งมากขึ้นเท่านั้น,,,,,,,,,,,,,,
1357,1357,进入布阵,135,,,,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入开始为战斗进行准备,點擊這裡進入開始為戰鬥進行準備,Tap here to start preparing for the battle.,Nhấn vào đây để bắt đầu chuẩn bị cho trận chiến,여길 터치해 전투 준비를 시작하자 로토.,Clique aqui para começar a se preparar para a batalha,คลิกที่นี่เพื่อเริ่มเตรียมการสำหรับการต่อสู้,,,<right;list;item1;btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
1358,1358,布阵后说话,135,,,,,,,,,,,,,0.3,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,准备好以后就开始战斗吧,準備好以後就開始戰鬥吧,"When you are ready, let's fight!",Chuẩn bị xong rồi thì chiến thôi nào!,준비가 끝났다면 전투를 시작하자 로토.,"Preparem-se, então vamos lutar!",เตรียมตัวให้พร้อม แล้วก็เริ่มต่อสู้กันเลย!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,1401,公会开启,141,,city.view,20,,not finish(142),,1,,,,1,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,新的功能#C0xE77421#【公会】#C0x5B545B#开启了哦,新的功能#C0xE77421#【公會】#C0x5B545B#開啟了哦,New feature#C0xE77421#[union]#C0x5B545B#  is now open!,Tính năng mới #C0xE77421#【Bang hội】#C0x5B545B# đã mở!,#C0xE77421#[길드]#C0x5B545B# 기능이 개방됐어 로토.,Novo recurso #C0xE77421#【Guilda】#C0x5B545B# agora aberto!,ฟีเจอร์ใหม่ #C0xE77421#【กิลด์】#C0x5B545B# เปิดให้ใช้งานแล้ว!,,,,,,,,,,,,,,
1402,1402,引导打开公会面板,141,,,,,,,,,,,,,0.1,1,2,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里可以打开公会列表,點擊這裡可以打開公會列表,Tap here to open the unions list.,Nhấn vào đây để mở danh sách bang hội.,여길 터치하면 길드 목록을 열 수 있어 로토.,Clique aqui para abrir a lista de guildas.,คลิกที่นี่เพื่อเปิดรายการกิลด์,,,<leftPanel;list;union>,,effect/shouyindao.skel,,,,,,,,,
1403,1403,功能说明,141,,,,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,你可以在这里找到一些公会加入，一个人能同时最多申请3个公会哦,你可以在這裡找到一些公會加入，一個人能同時最多申請3個公會哦,"You can find some unions to join here, one trainer can only send up to 3 union requests at once.",Bạn có thể tìm thấy một số bang hội để tham gia ở đây; một người có thể đăng ký tối đa 3 bang hội cùng một lúc.,"""여기서 길드를 찾아서 가입할 수 있고, 신청은 동시에 3개 길드까지 보낼 수 있어 로토.""",Você pode encontrar algumas guildas para se juntar aqui; uma única pessoa pode se candidatar a até 3 guildas ao mesmo tempo.,คุณสามารถหา guild ให้เข้าร่วมได้ที่นี่ โดยหนึ่งคนสามารถสมัครได้สูงสุด 3 guild พร้อมกัน,,,,,,,,,,,,,,
1404,1404,功能说明,141,,,,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,如果想快速找到一个家，你可以点击【快速加入】直接加入一个符合条件的公会,如果想快速找到一個家，你可以點擊【快速加入】直接加入一個符合條件的公會,"If you want to find yourself a home quickly, you can tap [Quick Join] to instantly join a union that meets the requirement.","Nếu muốn nhanh chóng tìm một gia đình, bạn có thể nhấn vào 【Gia nhập nhanh】để trực tiếp tham gia một bang hội phù hợp.","""빠르게 길드를 찾고 싶다면, [빠른 가입]을 터치해 조건에 맞는 길드에 바로 가입할 수 있어 로토.""","Se você quiser encontrar uma casa rapidamente, pode clicar em ""Entrada Rápida"" para entrar diretamente em uma guilda que atenda aos requisitos.",หากต้องการหาบ้านอย่างรวดเร็ว คุณสามารถคลิกที่ 【เข้าร่วมอย่างรวดเร็ว】เพื่อเข้าร่วมกิลด์ที่ตรงตามเงื่อนไขได้โดยตรง,,,<down;btnJoin>,,,,,,TRUE,,,,,
1405,1405,功能说明,141,,,,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotom Dex,โรทอมเด็กซ์,如果现在还没有公会，或者没有你想加入的公会，你可以点击【创建公会】自己来创建一个,如果現在還沒有公會，或者沒有你想加入的公會，你可以點擊【創建公會】自己來創建一個,"If you've not joined a union or have not found a union of your choice, you may tap [Create union] to build your own union.","Nếu bạn chưa có bang hội nào, hoặc không có bang hội nào bạn muốn tham gia, bạn có thể nhấp vào 【Tạo bang hội】 để tự tạo một bang hội.","""아직 가입할 수 있는 길드가 없거나 마음에 드는 길드가 없다면, [길드 창설]을 눌러 직접 만들어도 돼 로토.""","Se você ainda não tem uma guilda ou não tem uma guilda que deseja ingressar, você pode clicar em ""Criar Guilda"" para criar a sua própria.",ถ้าคุณยังไม่มีกิลด์ หรือไม่มีกิลด์ที่คุณอยากเข้าร่วม คุณสามารถคลิกที่ 【สร้างกิลด์】 เพื่อสร้างกิลด์ของคุณเอง,,,<down;btnCreate>,,,,,,TRUE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,1411,进入公会,142,,city.union.view,20,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,欢迎你进入公会界面，在这里，你可以和志同道合的朋友一起发展壮大哦,歡迎你進入公會介面，在這裡，你可以和志同道合的朋友一起發展壯大哦,Welcome to the union interface. Here is the place where you can grow and develop with like-minded companions!,"Chào mừng bạn đến giao diện bang hội! Ở đây, bạn có thể phát triển và lớn mạnh cùng những người bạn cùng chí hướng.",여긴 길드 메뉴야 로토. 여기서는 마음이 맞는 친구들과 함께 성장할 수 있어 로토.,"Bem-vindo à interface da guilda! Aqui, você pode crescer e prosperar com amigos que pensam da mesma forma.",ยินดีต้อนรับสู่ส่วนติดต่อของกิลด์! ที่นี่ คุณสามารถเติบโตและเจริญรุ่งเรืองไปกับเพื่อนๆ ที่มีความคิดคล้ายคลึงกัน,,,,,,,,,,,,,,
1412,1412,这里有每天的公会待办信息,142,,,,,,,,,,,,,,1,2,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,这里有每天的公会待办信息,這裡有每天的公會待辦資訊,Here are the information of the union's daily to-dos.,Đây là danh sách việc cần làm hàng ngày của bang hội.,여기에는 매일 길드의 정보가 표시돼 로토.,Aqui está a lista de tarefas diárias da guilda.,นี่คือรายการสิ่งที่ต้องทำประจำวันของกิลด์,,,<leftUp>,,,,,,TRUE,{width=650;height=400;dx=20;dy=0},,,,
1413,1413,点击这里，进入【捐赠中心】,142,,,,,,,,,,,,,,1,2,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里，进入【捐赠中心】,點擊這裡，進入【捐贈中心】,Tap here to enter [Donation Center],Nhấp vào đây để vào 【Trung tâm quyên góp】,여길 터치해 [기부센터]로 입장해 로토.,Clique aqui para acessar o Centro de Doações,คลิกที่นี่เพื่อเข้าสู่ศูนย์บริจาค,,,<scrollBuilding;contribute>,,effect/shouyindao.skel,,,,,,,,,
1414,1414,显示区域,142,,,,,,,,,,,,,0.1,1,1,,,{x=-400;y=700},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,这里可以查看公会任务,這裡可以檢視公會任務,You can check union Quests here.,Có thể xem nhiệm vụ bang hội ở đây.,여기서는 길드 퀘스트를 확인할 수 있어 로토.,As tarefas da guilda podem ser vistas aqui.,สามารถดูภารกิจของกิลด์ได้ที่นี่,,,<contribList>,,,,,,TRUE,,,,,
1415,1415,点击这里，进入捐献页面,142,,,,,,,,,,,,,,1,2,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,点击这里，进入捐献页面,點擊這裡，進入捐獻頁面,Tap here to enter the donation interface.,Nhấp vào đây để đến trang quyên góp.,여길 터치해 기부 메뉴로 입장해 로토.,Clique aqui para ir à página de doação.,คลิกที่นี่เพื่อไปยังหน้าบริจาค,,,<left;btnContrbute>,,effect/shouyindao.skel,,,,,,,,,
1416,1416,你可以选择消费少量的金币或钻石为公会添砖加瓦，同时获得公会经验和公会币回报,142,,,,,,,1,,,,,,0.1,1,1,,,{x=-700;y=600},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,你可以选择消费少量的金币或钻石为公会添砖加瓦，同时获得公会经验和公会币回报,你可以選擇消費少量的金幣或鑽石為公會添磚加瓦，同時獲得公會經驗和公會幣回報,"You can choose to spend a small amount of coins or diamonds to upgrade the union building, while gaining union EXP and union coin in return.","Bạn có thể chọn tiêu một ít vàng hoặc kim cương để đóng góp vào hội, đồng thời nhận được kinh nghiệm hội và tiền xu hội làm phần thưởng.","""소량의 코인이나 다이아를 소모해서·길드 발전을 위해 기부할 수 있어 로토, 그리고 길드 경험치와 길드 코인을 얻을 수 있어 로토.""","Você pode optar por gastar uma pequena quantidade de ouro ou diamantes para contribuir para a guilda e, ao mesmo tempo, receber experiência e moedas da guilda em troca.",คุณสามารถเลือกที่จะใช้ทองหรือเพชรจำนวนเล็กน้อยเพื่อสนับสนุนกิลด์ และในขณะเดียวกันก็ได้รับประสบการณ์กิลด์และเหรียญกิลด์เป็นรางวัล,,,<contribInfoList>,,,,,,TRUE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,1421,点击这里进入红包页面,143,,city.union.view,20,,finish(142),,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里进入红包页面,點擊這裡進入紅包頁面,Tap here to enter the Red Packet interface.,Nhấp vào đây để vào trang lì xì,여길 터치해 보너스 메뉴로 입장해 로토.,Clique aqui para acessar a página do envelope vermelho,คลิกที่นี่เพื่อเข้าสู่หน้าซองแดง,,,<redpacket>,,effect/shouyindao.skel,,,,,,,,,
1422,1422,这里有每天公会可以领取的红包，不过数量有限，手快有手慢无哦,143,,,,,,,,,,,,,0.3,1,1,,,{x=-700;y=600},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotomdex,โรทอมเดกซ์,这里有每天公会可以领取的红包，不过数量有限，手快有手慢无哦,這裡有每天公會可以領取的紅包，不過數量有限，手快有手慢無哦,"There are Red Packets to be collected in the union every day, but as the quantity is limited, fastest fingers get it first.","Có lì xì hằng ngày dành cho bang hội, nhưng số lượng có hạn, nhanh tay thì có chậm tay thì không nhé!",매일 길드에서 보너스를 수령할 수 있어 로토. 하지만 수량이 정해져 있으니까 서둘러야 해 로토.,"Existem envelopes vermelhos diários disponíveis para a guilda, mas a quantidade é limitada, então seja rápido!",มีซองแดงให้รับจากกิลด์ทุกวัน แต่จำนวนจำกัด ใครเร็วได้เร็วกว่านะ!,,,<list1>,,,,,,TRUE,,,,,
1423,1423,参与公会建设，公会升级后可以增加红包的重量和数量哦,143,,,,,,,,,,,,,,1,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,参与公会建设，公会升级后可以增加红包的重量和数量哦,參與公會建設，公會升級後可以增加紅包的重量和數量哦,Participate in the construction of the union and increase the weight and quantity of Red Packets after the union is levels up.,"Tham gia xây dựng bang hội, bang hội nâng cấp sẽ tăng trọng lượng và số lượng bao lì xì.",길드 건설에 참가하면 길드 레벨업 시 보너스의 중량과 수량을 늘릴 수 있어 로토.,Participe na construção da guilda; atualizações da guilda aumentam o peso e a quantidade de envelopes vermelhos.,เข้าร่วมการสร้างกิลด์ การอัปเกรดกิลด์จะเพิ่มน้ำหนักและจำนวนของซองแดง,,,,,,,,,,,,,,
1424,1424,这里有公会大佬们发送的红包，如果你看到这里有红包，赶紧下手不要犹豫,143,,,,,,,,,,,,,,1,3,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里可以查看战友们发放的红包,點擊這裡可以檢視戰友們發放的紅包,Tap here to check the Red Packets given by your comrades.,Nhấp vào đây để xem phong bao lì xì do đồng đội gửi.,이곳을 터치하면 동료들이 보낸 보너스를 확인할 수 있어 로토.,Clique aqui para ver os envelopes vermelhos enviados pelos seus companheiros de equipe.,คลิกที่นี่เพื่อดูซองแดงที่เพื่อนร่วมทีมส่งมา,,,<leftList;tab2;btnClick>,,,,,,TRUE,,,,,
1425,1425,这里有你可以发送的红包，发送红包是不需要消费任何资源的,143,,,,,,,,,,,,,,1,3,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,这里有你可以发放的红包，发红包不花钱哦,這裡有你可以發放的紅包，發紅包不花錢哦,"There are Red Packets for you to distribute here, it is free!",Có những bao lì xì bạn có thể phát. Phát lì xì không mất tiền nhé!,여기에는 네가 보낸 보너스를 확인할 수 있어. 보너스를 보내는 건 무료야 로토.,Aqui estão alguns envelopes vermelhos que você pode distribuir. Distribuir envelopes vermelhos é grátis!,นี่คือซองแดงที่คุณสามารถแจกได้ การแจกซองแดงไม่เสียเงินนะ!,,,<leftList;tab3;btnClick>,,,,,,TRUE,,,,,
1426,1426,如果你还没有可发放的红包，你可以点击这里，查看如何获取红包,143,,,,,,,1,,,,,,,1,3,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotom Dex,โรทอมเด็กซ์,如果你还没有可发放的红包，你可以点击这里，查看如何获取红包,如果你還沒有可發放的紅包，你可以點擊這裡，檢視如何獲取紅包,"If you do not have any Red Packet to distribute, tap here to see how you can get a Red Packet.","Nếu bạn chưa có bao lì xì nào để gửi, bạn có thể nhấp vào đây để xem cách nhận chúng.","""아직 보낼 수 있는 보너스가 없다면, 여길 터치해서 어떻게 보너스를 획득하는지 확인해 봐 로토.""","Se você não tiver envelopes vermelhos para enviar, pode clicar aqui para ver como obtê-los.",ถ้าคุณยังไม่มีซองแดงที่จะส่ง คุณสามารถคลิกที่นี่เพื่อดูวิธีรับซองแดง,,,<leftList;tab4;btnClick>,,,,,,TRUE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,1501,无限塔-剧情对白,151,,city.view,24,,,,1,,,,1,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,亲爱的训练师，冒险之路已开启，可进行前往挑战！,親愛的訓練師，冒險之路已開啟，可進行前往挑戰！,"Dear trainer, the Adventure Road is open. You may now challenge it!","Huấn luyện viên thân mến, con đường phiêu lưu đã mở ra, bạn có thể tiến đến thử thách!","""트레이너님, 모험의 길이 개방됐어요. 이제 도전을 시작해 보세요!""","Caro Treinador, o caminho da aventura está aberto, você pode ir para o desafio!",เทรนเนอร์ที่รัก เส้นทางการผจญภัยเปิดแล้ว คุณสามารถไปท้าทายได้!,,,,,,,,,,,,,,
1502,1502,无限塔-功能入口,151,,,,,,,,,,,,,,1,1,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,请点击这里，进入“冒险”,請點擊這裡，進入“冒險”,"Tap here to enter the ""Adventure""",Nhấp vào đây để bắt đầu cuộc phiêu lưu.,모험에 진입하세요.,Clique aqui para começar sua aventura.,คลิกที่นี่เพื่อเริ่มการผจญภัย,,冒险,<rightBottomPanel;btnAdventure>,,effect/shouyindao.skel,,,,,,,,,
1503,1503,无限塔-功能入口,151,,,,,,,,,,,,,0.4,1,1,,,{x=-600;y=400},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里，进入“冒险之路”,點擊這裡，進入“冒險之路”,"Tap here to enter the ""Adventure Road""",Nhấp vào đây để vào “Con đường phiêu lưu”,여길 터치해 “모험의 길”로 입장하세요.,"Clique aqui para entrar no ""Caminho da Aventura""",คลิกที่นี่เพื่อเข้าสู่ “เส้นทางผจญภัย”,,无限塔,<list;endlessTower>,,effect/shouyindao.skel,,,,,,,,,
1504,1504,无限塔,151,,,,,,,,,,,,,,1,2,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,这里显示可挑战的关卡,這裡顯示可挑戰的關卡,Levels to be challenged are shown here.,Đây hiển thị các màn chơi có thể thử thách.,이곳에서는 도전할 수 있는 스테이지가 나타납니다.,Aqui são exibidos os desafios disponíveis.,ที่นี่แสดงด่านที่สามารถท้าทายได้,,,<scroll;gate1;baseNode>,,,,,,TRUE,,,,,
1505,1505,无限塔,151,,,,,,,,,,,,,,1,1,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,每日有一次重置关卡机会，重置后初始关卡状态,每日有一次重置關卡機會，重置後初始關卡狀態,"You get a chance to reset the level once a day, it will restore to the initial level status after the reset.","Mỗi ngày có một lần đặt lại cấp độ, sau khi đặt lại, nó sẽ trở về trạng thái ban đầu.","""매일 스테이지 초기화 기회가 한 번 주어지며, 초기화 시 스테이지의 상태가 초기 상태로 돌아가요.""","Há uma chance diária de redefinir o nível; após a redefinição, ele retorna ao seu estado inicial.",มีโอกาสในการรีเซ็ตด่านวันละครั้ง หลังจากรีเซ็ตแล้ว ด่านจะกลับสู่สถานะเริ่มต้น,,,<rightDown;btnReset>,,,,,,TRUE,,,,,
